miRNA_region_id,ff79f645-81f1-4a3b-ae72-adc169f30143,aafbf8fb-290d-408e-b104-241b7d492895,91b36078-362b-4909-ac90-1b2d1ea4a545,646eb67c-2e86-4f89-867f-78c31eff5fe0,a44df6fa-36a7-4500-90fd-d62baf48ef52,d0982681-8799-412d-a868-81078e4a6560,eaf6af76-2b28-4128-9371-a3d928d72370,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,3d4b6861-2763-451d-ae0a-6a5adfc591ec,3be37b85-90eb-4f47-909a-8be730172d92,e351b00e-5462-4be5-a57c-162a9b7b996e,86b5eaae-717c-4806-be60-7ffcab935908,f4987886-cc3e-4423-84ae-84911abcd473,86e3408b-76a3-4834-b85e-4d2a07677304,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,8f6d8863-21b1-4469-b233-21bb7c9b954c,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,265fa10b-9393-4c95-99a0-df47069deaac,415d3af2-fc41-43d5-b185-6a09946b9e84,54fb48bb-ab47-4870-beb0-5713d15d8b58,41cd380c-ab97-451e-80b7-3d9653a1e909,02fc7dd7-7e17-4930-8424-52173c33b29b,585f73db-7dc1-49d8-a601-f8d33b318a95,0895e2a3-5571-4ee2-b715-a424d0c9fec4,8334ded1-3815-4766-8861-6fa8313fab6b,0f7a5400-3b1d-42d3-b47a-2979084bf616,81ec1c9c-36c0-48e8-929a-8273d1d3febe,d68e848a-5464-4471-88bd-3faf7e088d91,52fed7ff-b663-4fc1-a294-57776659175a,7e975ee3-173d-4315-aacf-c201122d9868,6dc4e6bf-a8f6-4280-af19-5ed501969f01,a4fc56a4-2493-451a-9b30-5aa38258bcce,85236a1e-2adb-459b-b868-b9486d9a285e,e896f815-d8df-42cc-bdf6-04deb50f6c1a,f424bcaa-7212-4abc-8110-cff56b85c85a,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,e83d4619-5e2b-4da7-8c05-93611ea76c85,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,d7438c8a-6e39-4139-92e7-2aa05bae5d40,be8e6554-07ae-4ec2-8be0-8598556467c9,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,8ecef704-ed0f-4700-a34e-46a174033332,aef6b437-1da5-4f69-970b-977cdc9cd5c5,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,ddde9a13-c70c-464c-8066-65a88ab92dc7,0f40e7fd-789f-49f7-a797-76bbe3c84f47,a576843f-a9f7-47cf-a52f-7f01066fa160,37fb952c-2a89-4903-98b9-6f6d36743218,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,ed76d786-d744-4067-b288-5fe2dc06a310,557f6cb1-95e3-4c8c-b253-538a415b0d07,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,3abbb570-87ad-44c5-b66d-141f63b0ca8b,f3a7612e-35c3-43be-8f96-795874f8225c,non_zero_samples,%_non_zero_samples
MIMAT0000072,16.287034,5.8095870000000005,18.314605,24.021501,12.276878,7.85151,2.637759,9.841134,21.737791,13.43008,12.301829,8.346198000000001,10.414835,9.373273,66.396181,11.232995,9.904221,6.738476,5.228025000000001,8.107515,,4.427389,7.594139,7.404334,8.876412,19.202849999999998,11.95756,4.36409,5.649044,8.680308,8.9848,6.678577000000001,42.85262,1.431589,6.42928,37.093749,10.595319,2.1424969999999997,4.3149,19.590131,46.296679999999995,1.651712,4.694532,9.824389,7.373247,27.983462,4.2362850000000005,2.799652,10.145328000000001,35.702003,2.2932,1.230827,2.869624,6.962202,5.5733,3.230386,55,98.21428571428571
MIMAT0000073,58.633322,18.485049,25.973438,86.299469,10.23073,9.107754,36.049375,38.380425,12.076550999999998,35.455411,17.954021,48.793155,25.118132,16.559451,78.46821399999999,36.251939,17.827598,30.804463000000002,35.102447,9.72902,13.388314,7.378984,43.666298999999995,15.919317,54.526526,73.73894899999999,30.558206,30.548628,17.816212,24.80088,28.451867,37.566994,69.088918,9.734799,12.215632,62.55640699999999,46.120804,41.931748,6.903836999999999,37.591874000000004,118.956754,14.865406,49.762035000000004,48.303246,24.130628,105.997958,12.708854,13.298347,21.484225000000002,34.244778000000004,17.581201,14.769922000000001,34.435492,4.973001,46.815722,9.691158999999999,56,100.0
MIMAT0000074,136.268183,72.883909,109.55463,243.77376,36.830627,58.101189000000005,127.491693,131.871201,96.209856,346.496062,78.13323600000001,184.90038099999998,110.887361,77.485737,419.228774,166.96315099999998,80.224191,84.71227400000001,124.725717,42.879753,38.755648,46.487602,127.201825,57.013367,140.75451900000002,150.166295,110.27526399999999,162.094761,87.342887,116.564136,103.3252,126.475548,271.10841300000004,32.640208,200.593551,220.362017,127.76709,91.515276,49.189837,150.896963,258.489814,49.551355,143.65266400000002,203.037373,96.522507,496.070443,43.239321000000004,38.495215,75.19479,116.577967,68.41380600000001,60.310514000000005,103.306475,43.099346000000004,112.58066600000001,59.762146,56,100.0
MIMAT0000075,184.586384,101.403701,136.527045,580.964474,32.056289,85.73851,207.50372000000002,172.219854,237.10294900000002,300.833792,126.343104,246.212833,216.26098900000002,136.224924,605.796552,247.12588599999998,84.68109,88.562832,113.522809,81.255331,35.937055,53.866587,205.041749,146.23558,144.558697,155.543093,140.83346999999998,216.334164,95.59917899999999,120.90429,160.22893200000001,178.651928,299.093799,57.26351999999999,68.150373,339.816462,164.539083,87.53635200000001,62.134529,148.249647,563.276312,85.063158,93.89062899999999,504.318637,99.20368700000002,559.66922,391.345066,55.99303999999999,113.38896899999999,235.341778,71.471405,104.62027800000001,130.08963500000002,59.012950999999994,104.778045,27.458283,56,100.0
MIMAT0000076,301035.421039,254620.99838300003,51624.871634,193049.24497099998,307089.69144799997,269286.140501,325563.66715,409740.558165,376260.2384,244031.000917,231218.516045,324405.469845,428612.125192,298460.68957,219949.692552,379651.736319,212270.73584600003,178232.218487,341398.929604,288695.689771,347108.26495599997,399753.54191,295419.595158,350439.68782,225870.42722000004,204746.176711,295170.34207,174099.12718,167500.624654,367513.699387,516325.00716700003,338150.535116,150767.761535,311406.177309,172660.899173,350338.511897,227894.734868,270412.039121,154088.451952,385185.41265199997,185951.91445500002,119531.07902500001,331289.334302,392743.869987,308562.350854,273488.299523,312526.504172,318330.23155,371218.477867,161631.712702,263281.164302,265746.582614,204491.344732,560074.024777,430080.99677100003,155754.69092599998,56,100.0
MIMAT0000077,73119.010442,108819.903859,13525.168260999999,53640.013772000006,57887.517897000005,82857.636379,111550.835335,80568.384565,62707.490238,73356.171631,79965.541585,66399.138933,67632.10146399999,70603.567028,43103.741564,96233.066263,87155.661178,75912.78679,55872.639362999995,86160.919787,33469.377398,104907.762691,105464.236038,84813.67550999999,67525.39604600001,40795.689345,101443.941638,83524.937654,87594.48566600001,72234.42287800001,67415.200334,47031.372615,34837.431151,96391.10983900001,77317.884202,60531.968369,84395.462212,82363.444817,94355.595908,60840.596682,24452.36489,61502.314462,91341.49994000001,45594.17086300001,66648.792126,63178.174935999996,144419.038099,82729.01678399999,75132.724771,43782.313956000005,85772.183559,130230.09076100001,53900.15429,51720.874037999994,62175.18109,52716.674119999996,56,100.0
MIMAT0000078,4297.605373,4419.51134,974.669905,3043.61326,4325.552748,4259.602396,3222.4624519999998,3005.4824949999997,12341.429858,5006.196639,2584.3814,1709.044488,2763.6071330000004,1975.573865,4109.429684,3112.5607339999997,3122.8009509999997,4328.989743,2516.1732660000002,3122.835178,1398.02191,3493.949229,4391.310786,4488.136593,4232.780076,4555.684425,4585.059431,4193.26683,3721.415301,3462.20284,1111.868996,4616.983620999999,2356.019571,5689.416988,7976.808298,2053.044692,4890.051742,9176.319636,5844.960547,3061.884697,1885.303823,3278.64791,5700.100179999999,1933.767243,2411.722119,4161.055842,6431.994994,4039.8978389999997,2026.08185,3611.002626,3244.8782309999997,3176.763962,2749.100132,2787.201613,4434.675063,1922.0798519999998,56,100.0
MIMAT0000079,8.143517,11.091031000000001,5.993871,4.4484259999999995,13.640972999999999,8.479631,9.671783,20.666382,4.830621,13.430079000000001,6.317156,12.198288,7.351648,3.749308,14.266949,14.807129,15.351542,14.920911,16.430934,20.358874,1.409296,13.282171,7.594139,10.736283,11.412528,6.528969,7.307397,4.9875300000000005,15.208960999999999,8.060286,8.236066000000001,6.678576,23.612668,1.4315890000000002,32.789329,13.202860999999999,12.465081999999999,8.876063,16.396612,20.119594,14.789216999999999,6.606848,36.617345,3.274796,16.087083999999997,8.479835999999999,1.606868,11.898521,8.354976,13.843634,12.2304,6.154134999999999,11.478496,4.973,13.933250000000001,19.382317,56,100.0
MIMAT0000080,1990.275553,1624.571807,551.103075,1074.739791,2979.8707,1408.875338,994.4352060000001,730.2121800000001,5624.854824,2358.859256,959.210134,951.1455329999999,841.1510949999999,1299.448308,1934.268883,1824.851064,1533.1734430000001,1538.779208,1195.72378,1114.513259,353.733363,1046.340019,1459.9731969999998,1054.006841,1046.1484619999999,1511.264387,1777.026074,867.2069769999999,1705.576258,1648.638496,381.854,1661.295977,1223.486034,857.521206,3963.651417,1199.888469,2063.594356,1867.952324,2432.739381,1459.729569,1337.459735,812.642206,1807.394638,907.937288,2178.459391,858.159467,1315.73162,1008.574633,1156.2690949999999,1965.067411,1811.628129,621.567537,748.971952,1161.693164,1888.791476,1739.5630239999998,56,100.0
MIMAT0000081,14627.928134999998,6796.160602000001,9392.727705,18646.023598,7307.469592,7925.316412,8191.121477,5695.064572,5653.436002,14909.537665999998,11840.011068,11253.884596000002,6098.19229,8344.401606000001,6721.378584,11748.691355,5612.722168,13156.875100000001,10039.299805,6733.5626839999995,9812.93001,10371.900823,5696.869823,7683.476601,18798.970844,10029.6492,12429.217894,15053.615957,7852.603448,9386.513034,3316.888653,6368.440383,9381.225655999999,9270.391184,4040.802784,13460.001151999999,5275.846034,9109.290053,13767.112888,18720.753785,28976.579662999997,13336.746873,10610.580159,9763.805312999999,14651.982731999999,20631.442554999998,10342.08584,4108.489315,10090.723109999999,13072.033528000002,7010.695102000001,10783.273557,25598.005802000003,7514.868445,10698.507302,21827.720266,56,100.0
