accession_id,is_expressed
MIMAT0019223,0
MIMAT0019225,0
MIMAT0019688,0
MIMAT0019696,1
MIMAT0019706,0
MIMAT0019725,0
MIMAT0019728,1
MIMAT0019729,1
MIMAT0019731,1
MIMAT0019744,0
MIMAT0019746,1
MIMAT0019748,0
MIMAT0019757,1
MIMAT0019758,0
MIMAT0019761,1
MIMAT0019772,0
MIMAT0019776,1
MIMAT0019798,0
MIMAT0019805,1
MIMAT0019812,1
MIMAT0019814,1
MIMAT0019823,1
MIMAT0019824,0
MIMAT0019841,1
MIMAT0019847,0
MIMAT0019850,1
MIMAT0019855,0
MIMAT0019856,1
MIMAT0019865,0
MIMAT0019867,0
MIMAT0019871,0
MIMAT0019873,1
MIMAT0019880,1
MIMAT0019889,0
MIMAT0019894,0
MIMAT0019895,0
MIMAT0019920,0
MIMAT0019924,0
MIMAT0019926,1
MIMAT0019927,1
MIMAT0019931,0
MIMAT0019935,0
MIMAT0019957,1
MIMAT0019963,1
MIMAT0019973,0
MIMAT0019985,0
MIMAT0020300,0
MIMAT0020925,1
MIMAT0020959,0
MIMAT0021017,0
MIMAT0021020,1
MIMAT0021022,0
MIMAT0021023,0
MIMAT0021026,1
MIMAT0021043,0
MIMAT0021044,0
MIMAT0021117,0
MIMAT0021118,0
MIMAT0022270,0
MIMAT0022271,1
MIMAT0022272,1
MIMAT0022276,0
MIMAT0022287,1
MIMAT0022292,0
MIMAT0022293,1
MIMAT0022468,1
MIMAT0022471,0
MIMAT0022472,1
MIMAT0022491,1
MIMAT0022492,0
MIMAT0022500,0
MIMAT0022692,1
MIMAT0022696,1
MIMAT0022697,1
MIMAT0022708,0
MIMAT0022710,1
MIMAT0022711,0
MIMAT0022714,0
MIMAT0022721,1
MIMAT0022726,1
MIMAT0022727,1
MIMAT0022736,0
MIMAT0022834,1
MIMAT0022838,0
MIMAT0022842,1
MIMAT0022861,1
MIMAT0022862,1
MIMAT0022923,1
MIMAT0022924,0
MIMAT0022925,1
MIMAT0022928,0
MIMAT0022929,1
MIMAT0022975,1
MIMAT0024598,0
MIMAT0025458,1
MIMAT0025460,1
MIMAT0025462,0
MIMAT0025470,0
MIMAT0025472,0
MIMAT0025474,0
MIMAT0025477,1
MIMAT0025483,0
MIMAT0025841,1
MIMAT0025843,1
MIMAT0025845,1
MIMAT0025848,1
MIMAT0025851,1
MIMAT0025855,0
MIMAT0026472,1
MIMAT0026476,0
MIMAT0026477,1
MIMAT0026478,1
MIMAT0026480,1
MIMAT0026481,1
MIMAT0026483,1
MIMAT0026486,0
MIMAT0026554,0
MIMAT0026555,0
MIMAT0026557,1
MIMAT0026558,0
MIMAT0026559,1
MIMAT0026605,1
MIMAT0026606,1
MIMAT0026607,0
MIMAT0026618,0
MIMAT0026623,0
MIMAT0026625,1
MIMAT0026626,0
MIMAT0026639,0
MIMAT0026718,1
MIMAT0026720,1
MIMAT0026738,1
MIMAT0026743,0
MIMAT0027032,1
MIMAT0027368,0
MIMAT0027369,0
MIMAT0027397,0
MIMAT0027410,0
MIMAT0027414,0
MIMAT0027422,1
MIMAT0027497,1
MIMAT0027505,0
MIMAT0027513,1
MIMAT0027519,0
MIMAT0027530,0
MIMAT0027541,0
MIMAT0027553,0
MIMAT0027577,1
MIMAT0027587,1
MIMAT0027604,0
MIMAT0027608,1
MIMAT0027642,0
MIMAT0027648,0
MIMAT0027649,0
MIMAT0027667,0
MIMAT0027684,1
MIMAT0028118,0
MIMAT0028123,0
MIMAT0028214,0
MIMAT0028221,0
MIMAT0030017,1
MIMAT0030021,1
MIMAT0030412,0
MIMAT0030414,0
MIMAT0030417,0
MIMAT0030418,1
MIMAT0030419,0
MIMAT0031179,0
MIMAT0031893,1
MIMAT0032110,1
MIMAT0000102,1
MIMAT0000429,1
MIMAT0000442,1
MIMAT0000735,0
MIMAT0001541,1
MIMAT0002804,0
MIMAT0002815,0
MIMAT0002827,1
MIMAT0002832,1
MIMAT0002839,1
MIMAT0002840,1
MIMAT0002842,1
MIMAT0002847,1
MIMAT0002858,1
MIMAT0002861,1
MIMAT0002868,1
MIMAT0003220,1
MIMAT0003254,1
MIMAT0003260,1
MIMAT0003302,1
MIMAT0003336,0
MIMAT0003880,1
MIMAT0003881,0
MIMAT0004487,1
MIMAT0004488,0
MIMAT0004506,1
MIMAT0004554,1
MIMAT0004560,1
MIMAT0004608,1
MIMAT0004763,0
MIMAT0004772,0
MIMAT0004918,0
MIMAT0004928,1
MIMAT0004950,1
MIMAT0005593,0
MIMAT0005795,1
MIMAT0005798,0
MIMAT0005900,1
MIMAT0005903,1
MIMAT0005929,1
MIMAT0005930,1
MIMAT0005933,1
MIMAT0005941,0
MIMAT0005955,0
MIMAT0007884,1
MIMAT0010133,1
MIMAT0011158,1
MIMAT0011777,0
MIMAT0013516,0
MIMAT0014987,1
MIMAT0014992,0
MIMAT0015049,0
MIMAT0015072,1
MIMAT0015073,0
MIMAT0015075,0
MIMAT0015082,0
MIMAT0017981,0
MIMAT0017986,1
MIMAT0018000,1
MIMAT0018075,0
MIMAT0018191,1
MIMAT0018193,1
MIMAT0018351,0
MIMAT0018960,0
MIMAT0018968,1
MIMAT0018972,0
MIMAT0018996,0
MIMAT0019026,1
MIMAT0019059,1
MIMAT0019060,0
MIMAT0019201,1
MIMAT0019207,0
MIMAT0019210,0
MIMAT0019214,1
MIMAT0019229,1
MIMAT0019234,0
MIMAT0019693,0
MIMAT0019710,0
MIMAT0019712,0
MIMAT0019747,0
MIMAT0019760,1
MIMAT0019774,0
MIMAT0019807,0
MIMAT0019808,0
MIMAT0019844,0
MIMAT0019845,1
MIMAT0019890,0
MIMAT0019902,0
MIMAT0019905,0
MIMAT0019918,1
MIMAT0019939,1
MIMAT0019949,0
MIMAT0019954,1
MIMAT0019968,0
MIMAT0019970,0
MIMAT0019981,0
MIMAT0021018,0
MIMAT0021083,0
MIMAT0022282,0
MIMAT0022296,0
MIMAT0022469,0
MIMAT0022488,1
MIMAT0022693,0
MIMAT0022695,0
MIMAT0022698,1
MIMAT0022705,0
MIMAT0022706,1
MIMAT0022707,0
MIMAT0022709,1
MIMAT0022732,0
MIMAT0022978,0
MIMAT0025450,1
MIMAT0025451,1
MIMAT0025466,0
MIMAT0025485,0
MIMAT0026475,1
MIMAT0026479,0
MIMAT0026485,0
MIMAT0026614,0
MIMAT0026615,1
MIMAT0026616,1
MIMAT0026627,0
MIMAT0026719,0
MIMAT0026734,0
MIMAT0027361,0
MIMAT0027376,0
MIMAT0027384,0
MIMAT0027393,0
MIMAT0027401,0
MIMAT0027417,0
MIMAT0027425,0
MIMAT0027428,0
MIMAT0027429,0
MIMAT0027434,0
MIMAT0027439,0
MIMAT0027454,1
MIMAT0027461,0
MIMAT0027466,0
MIMAT0027476,0
MIMAT0027477,1
MIMAT0027507,0
MIMAT0027517,0
MIMAT0027521,0
MIMAT0027531,0
MIMAT0027555,0
MIMAT0027567,0
MIMAT0027588,1
MIMAT0027607,0
MIMAT0027622,0
MIMAT0027654,0
MIMAT0027659,0
MIMAT0027669,0
MIMAT0028215,0
MIMAT0030020,1
MIMAT0030421,0
MIMAT0031074,0
MIMAT0031177,0
MIMAT0000724,1
MIMAT0002859,1
MIMAT0002867,1
MIMAT0003245,0
MIMAT0003306,0
MIMAT0003385,0
MIMAT0003882,1
MIMAT0004561,1
MIMAT0004778,0
MIMAT0004793,0
MIMAT0005799,1
MIMAT0014991,0
MIMAT0015028,0
MIMAT0015031,0
MIMAT0015035,1
MIMAT0016916,0
MIMAT0018112,0
MIMAT0018934,0
MIMAT0019018,0
MIMAT0019048,0
MIMAT0019216,0
MIMAT0019694,0
MIMAT0019726,0
MIMAT0019749,0
MIMAT0019750,0
MIMAT0019762,0
MIMAT0019768,0
MIMAT0019770,0
MIMAT0019792,0
MIMAT0019795,0
MIMAT0019840,0
MIMAT0019869,0
MIMAT0019883,0
MIMAT0019896,0
MIMAT0019943,0
MIMAT0019958,0
MIMAT0021021,0
MIMAT0021080,0
MIMAT0022502,0
MIMAT0022720,1
MIMAT0022833,1
MIMAT0022844,1
MIMAT0027354,0
MIMAT0027370,0
MIMAT0027396,0
MIMAT0027487,0
MIMAT0027514,0
MIMAT0027525,0
MIMAT0027565,0
MIMAT0027591,0
MIMAT0027610,0
MIMAT0027612,0
MIMAT0027650,1
MIMAT0027663,0
MIMAT0027682,0
MIMAT0027689,0
MIMAT0027691,0
MIMAT0028122,1
MIMAT0028212,0
MIMAT0028222,1
MIMAT0029782,0
MIMAT0030019,0
MIMAT0030413,0
MIMAT0031892,0
MIMAT0000260,0
MIMAT0002822,1
MIMAT0002853,1
MIMAT0002856,1
MIMAT0002870,0
MIMAT0003244,0
MIMAT0003309,0
MIMAT0003945,0
MIMAT0004498,1
MIMAT0004510,0
MIMAT0004607,1
MIMAT0004609,1
MIMAT0004658,1
MIMAT0004785,1
MIMAT0004958,1
MIMAT0005589,0
MIMAT0005889,0
MIMAT0007889,0
MIMAT0015008,0
MIMAT0015012,0
MIMAT0015030,1
MIMAT0015032,0
MIMAT0015041,0
MIMAT0015377,0
MIMAT0017392,0
MIMAT0017995,0
MIMAT0018006,0
MIMAT0018074,0
MIMAT0018080,0
MIMAT0018086,1
MIMAT0018120,0
MIMAT0018961,0
MIMAT0019006,0
MIMAT0019200,0
MIMAT0019219,1
MIMAT0019220,1
MIMAT0019689,0
MIMAT0019716,1
MIMAT0019739,1
MIMAT0019756,0
MIMAT0019763,0
MIMAT0019764,1
MIMAT0019822,1
MIMAT0019826,0
MIMAT0019853,0
MIMAT0019901,0
MIMAT0019911,0
MIMAT0019912,0
MIMAT0019922,0
MIMAT0019955,0
MIMAT0019961,0
MIMAT0019962,0
MIMAT0019978,0
MIMAT0019979,0
MIMAT0021024,0
MIMAT0021040,0
MIMAT0022277,0
MIMAT0022473,1
MIMAT0022480,1
MIMAT0022482,0
MIMAT0022483,1
MIMAT0022487,1
MIMAT0022496,0
MIMAT0022700,1
MIMAT0025463,0
MIMAT0025467,0
MIMAT0025471,0
MIMAT0025484,0
MIMAT0025486,0
MIMAT0025846,0
MIMAT0025849,1
MIMAT0026617,0
MIMAT0026620,0
MIMAT0026735,0
MIMAT0026736,0
MIMAT0026737,0
MIMAT0026765,0
MIMAT0027363,0
MIMAT0027382,0
MIMAT0027399,0
MIMAT0027402,0
MIMAT0027423,0
MIMAT0027433,0
MIMAT0027465,0
MIMAT0027469,0
MIMAT0027626,0
MIMAT0027662,0
MIMAT0027668,0
MIMAT0027674,0
MIMAT0030018,0
MIMAT0001630,0
MIMAT0003323,1
MIMAT0004284,0
MIMAT0004595,0
MIMAT0004612,0
MIMAT0004804,0
MIMAT0005875,0
MIMAT0009203,1
MIMAT0011157,1
MIMAT0018070,0
MIMAT0018195,1
MIMAT0018949,0
MIMAT0018976,0
MIMAT0019024,0
MIMAT0019068,0
MIMAT0019071,0
MIMAT0019796,0
MIMAT0019864,0
MIMAT0019982,0
MIMAT0021129,0
MIMAT0026482,0
MIMAT0027357,0
MIMAT0027600,0
MIMAT0027637,0
MIMAT0027665,0
MIMAT0030424,0
MIMAT0004698,1
MIMAT0004924,0
MIMAT0014994,0
MIMAT0015051,0
MIMAT0015071,0
MIMAT0018083,1
MIMAT0018936,0
MIMAT0018950,0
MIMAT0018975,0
MIMAT0019232,1
MIMAT0019698,0
MIMAT0019779,0
MIMAT0019802,0
MIMAT0019948,1
MIMAT0019969,0
MIMAT0021029,0
MIMAT0021030,1
MIMAT0021081,1
MIMAT0021119,0
MIMAT0022294,1
MIMAT0022489,0
MIMAT0022839,0
MIMAT0027395,0
MIMAT0027432,0
MIMAT0027449,0
MIMAT0027463,0
MIMAT0027537,0
MIMAT0027573,0
MIMAT0030428,0
MIMAT0002848,1
MIMAT0003225,0
MIMAT0003313,0
MIMAT0004562,1
MIMAT0004910,0
MIMAT0005789,0
MIMAT0005891,0
MIMAT0007885,1
MIMAT0018184,0
MIMAT0019052,0
MIMAT0019078,0
MIMAT0019738,1
MIMAT0019815,0
MIMAT0024614,0
MIMAT0025459,0
MIMAT0025475,0
MIMAT0026612,0
MIMAT0026619,0
MIMAT0027359,0
MIMAT0027527,0
MIMAT0027529,0
MIMAT0027551,0
MIMAT0027625,0
MIMAT0027647,0
MIMAT0027675,0
MIMAT0027688,0
MIMAT0003327,1
MIMAT0009201,0
MIMAT0015004,0
MIMAT0015009,0
MIMAT0015076,0
MIMAT0019037,1
MIMAT0019233,0
MIMAT0019827,0
MIMAT0019866,0
MIMAT0019879,0
MIMAT0019892,0
MIMAT0019950,0
MIMAT0021028,0
MIMAT0021082,0
MIMAT0022691,0
MIMAT0022939,0
MIMAT0025456,0
MIMAT0026610,0
MIMAT0026917,0
MIMAT0026921,0
MIMAT0027103,1
MIMAT0027380,0
MIMAT0027452,0
MIMAT0027510,0
MIMAT0027603,0
MIMAT0028220,0
MIMAT0028227,0
MIMAT0031890,1
MIMAT0032026,1
MIMAT0004591,1
MIMAT0018103,0
MIMAT0019016,0
MIMAT0019708,0
MIMAT0019780,0
MIMAT0019917,0
MIMAT0019964,0
MIMAT0027041,0
MIMAT0027413,0
MIMAT0027445,0
MIMAT0027572,0
MIMAT0027661,0
MIMAT0000422,1
MIMAT0002851,1
MIMAT0002863,1
MIMAT0002864,0
MIMAT0002869,1
MIMAT0004548,1
MIMAT0004803,0
MIMAT0005800,1
MIMAT0005897,0
MIMAT0011778,0
MIMAT0015010,0
MIMAT0015078,0
MIMAT0018102,1
MIMAT0019700,0
MIMAT0019736,0
MIMAT0019789,0
MIMAT0019811,0
MIMAT0019819,0
MIMAT0019884,0
MIMAT0019932,0
MIMAT0021124,0
MIMAT0022273,0
MIMAT0022290,0
MIMAT0025464,0
MIMAT0027374,0
MIMAT0027486,0
MIMAT0027528,0
MIMAT0027568,0
MIMAT0027664,0
MIMAT0028117,0
MIMAT0003165,0
MIMAT0004975,0
MIMAT0013515,0
MIMAT0015029,0
MIMAT0018122,0
MIMAT0018202,0
MIMAT0019021,0
MIMAT0019057,0
MIMAT0019235,0
MIMAT0019709,0
MIMAT0019737,1
MIMAT0019769,0
MIMAT0019829,0
MIMAT0019857,0
MIMAT0019860,0
MIMAT0019937,0
MIMAT0019960,0
MIMAT0019977,0
MIMAT0025453,0
MIMAT0025482,0
MIMAT0027485,0
MIMAT0027495,0
MIMAT0027671,0
MIMAT0032114,0
MIMAT0005894,0
MIMAT0005916,0
MIMAT0015002,0
MIMAT0015053,1
MIMAT0015070,0
MIMAT0016858,0
MIMAT0018076,0
MIMAT0018350,0
MIMAT0018359,0
MIMAT0019724,0
MIMAT0019818,0
MIMAT0019837,0
MIMAT0027535,0
MIMAT0027536,0
MIMAT0027633,0
MIMAT0027641,0
MIMAT0031175,0
MIMAT0003883,1
MIMAT0004516,0
MIMAT0005826,0
MIMAT0005876,0
MIMAT0015069,1
MIMAT0018003,0
