id,label,type
IPO5,IPO5,Messenger RNA
MGAT5,MGAT5,Messenger RNA
RSBN1,RSBN1,Messenger RNA
HOXA3,HOXA3,Messenger RNA
ABI2,ABI2,Messenger RNA
CHD3,CHD3,Messenger RNA
ADAMTS5,ADAMTS5,Messenger RNA
PHAX,PHAX,Messenger RNA
FOXO1,FOXO1,Messenger RNA
TMOD3,TMOD3,Messenger RNA
FEM1B,FEM1B,Messenger RNA
ANKIB1,ANKIB1,Messenger RNA
ZNF106,ZNF106,Messenger RNA
MOB3B,MOB3B,Messenger RNA
ARPP19,ARPP19,Messenger RNA
PLXDC2,PLXDC2,Messenger RNA
C5orf24,C5orf24,Messenger RNA
IFNAR2,IFNAR2,Messenger RNA
ING1,ING1,Messenger RNA
BMF,BMF,Messenger RNA
DTWD2,DTWD2,Messenger RNA
GBA2,GBA2,Messenger RNA
DIO2,DIO2,Messenger RNA
GNB5,GNB5,Messenger RNA
MIB1,MIB1,Messenger RNA
SMAD5,SMAD5,Messenger RNA
PRLR,PRLR,Messenger RNA
RNF111,RNF111,Messenger RNA
ABHD5,ABHD5,Messenger RNA
PEG10,PEG10,Messenger RNA
VASH2,VASH2,Messenger RNA
GRPEL2,GRPEL2,Messenger RNA
VMP1,VMP1,Messenger RNA
LRCH1,LRCH1,Messenger RNA
ARFIP1,ARFIP1,Messenger RNA
SLC16A14,SLC16A14,Messenger RNA
AAK1,AAK1,Messenger RNA
EFNB2,EFNB2,Messenger RNA
TSPAN2,TSPAN2,Messenger RNA
ANK3,ANK3,Messenger RNA
NFIX,NFIX,Messenger RNA
SPSB4,SPSB4,Messenger RNA
LAMC1,LAMC1,Messenger RNA
MSI2,MSI2,Messenger RNA
AKT3,AKT3,Messenger RNA
KCTD16,KCTD16,Messenger RNA
RLIM,RLIM,Messenger RNA
CACNA1C,CACNA1C,Messenger RNA
DKK3,DKK3,Messenger RNA
BBX,BBX,Messenger RNA
ANTXR2,ANTXR2,Messenger RNA
ADGRL2,ADGRL2,Messenger RNA
BMPR2,BMPR2,Messenger RNA
FGF1,FGF1,Messenger RNA
TBX3,TBX3,Messenger RNA
NCKAP1,NCKAP1,Messenger RNA
MAP3K1,MAP3K1,Messenger RNA
FLNC,FLNC,Messenger RNA
VEZF1,VEZF1,Messenger RNA
SLC16A6,SLC16A6,Messenger RNA
SRGAP1,SRGAP1,Messenger RNA
CAMKK2,CAMKK2,Messenger RNA
PRKG1,PRKG1,Messenger RNA
JADE2,JADE2,Messenger RNA
FOSL2,FOSL2,Messenger RNA
CYTH3,CYTH3,Messenger RNA
USF3,USF3,Messenger RNA
SLC30A4,SLC30A4,Messenger RNA
SLC16A7,SLC16A7,Messenger RNA
MYLK,MYLK,Messenger RNA
NAV3,NAV3,Messenger RNA
TRAM2,TRAM2,Messenger RNA
PRRC2C,PRRC2C,Messenger RNA
RCBTB1,RCBTB1,Messenger RNA
SUCO,SUCO,Messenger RNA
MLEC,MLEC,Messenger RNA
TLCD5,TLCD5,Messenger RNA
ZSWIM4,ZSWIM4,Messenger RNA
NAV2,NAV2,Messenger RNA
CDS1,CDS1,Messenger RNA
FTO,FTO,Messenger RNA
DAB2,DAB2,Messenger RNA
USP38,USP38,Messenger RNA
ACVR1B,ACVR1B,Messenger RNA
CARM1,CARM1,Messenger RNA
KCND2,KCND2,Messenger RNA
ZNF423,ZNF423,Messenger RNA
RUNX1T1,RUNX1T1,Messenger RNA
TMED8,TMED8,Messenger RNA
AQR,AQR,Messenger RNA
YTHDC1,YTHDC1,Messenger RNA
SOS1,SOS1,Messenger RNA
TRAF6,TRAF6,Messenger RNA
PRELID2,PRELID2,Messenger RNA
RPS6KA2,RPS6KA2,Messenger RNA
LPP,LPP,Messenger RNA
CNOT6L,CNOT6L,Messenger RNA
CSNK1A1,CSNK1A1,Messenger RNA
TCF4,TCF4,Messenger RNA
STMP1,STMP1,Messenger RNA
CPEB3,CPEB3,Messenger RNA
RRAGD,RRAGD,Messenger RNA
TTLL7,TTLL7,Messenger RNA
HMCN1,HMCN1,Messenger RNA
ADAM19,ADAM19,Messenger RNA
BHLHE41,BHLHE41,Messenger RNA
STAG2,STAG2,Messenger RNA
PPP1R9A,PPP1R9A,Messenger RNA
YY1,YY1,Messenger RNA
ATP7A,ATP7A,Messenger RNA
MYEF2,MYEF2,Messenger RNA
CDH6,CDH6,Messenger RNA
CNNM2,CNNM2,Messenger RNA
ZKSCAN1,ZKSCAN1,Messenger RNA
ITGA2,ITGA2,Messenger RNA
BHLHE22,BHLHE22,Messenger RNA
AFF4,AFF4,Messenger RNA
CBX2,CBX2,Messenger RNA
ATXN7L1,ATXN7L1,Messenger RNA
BACH2,BACH2,Messenger RNA
USP46,USP46,Messenger RNA
NEK4,NEK4,Messenger RNA
ZNF740,ZNF740,Messenger RNA
ITGAV,ITGAV,Messenger RNA
PALM2AKAP2,PALM2AKAP2,Messenger RNA
CCND2,CCND2,Messenger RNA
RAP2B,RAP2B,Messenger RNA
CABLES2,CABLES2,Messenger RNA
KIAA1217,KIAA1217,Messenger RNA
PPM1F,PPM1F,Messenger RNA
HIPK2,HIPK2,Messenger RNA
PTPN4,PTPN4,Messenger RNA
SMAD2,SMAD2,Messenger RNA
SHROOM4,SHROOM4,Messenger RNA
SKP1,SKP1,Messenger RNA
ARL4C,ARL4C,Messenger RNA
FAT3,FAT3,Messenger RNA
LPGAT1,LPGAT1,Messenger RNA
TET3,TET3,Messenger RNA
AJAP1,AJAP1,Messenger RNA
GALNT3,GALNT3,Messenger RNA
ADAMTS2,ADAMTS2,Messenger RNA
TGOLN2,TGOLN2,Messenger RNA
NFIC,NFIC,Messenger RNA
LSM11,LSM11,Messenger RNA
COL6A3,COL6A3,Messenger RNA
DCUN1D3,DCUN1D3,Messenger RNA
RTF1,RTF1,Messenger RNA
PPP6R3,PPP6R3,Messenger RNA
GRIN2A,GRIN2A,Messenger RNA
CTNND2,CTNND2,Messenger RNA
DOK6,DOK6,Messenger RNA
RASGRF2,RASGRF2,Messenger RNA
ENTPD1,ENTPD1,Messenger RNA
CTTNBP2NL,CTTNBP2NL,Messenger RNA
ZBTB16,ZBTB16,Messenger RNA
RND3,RND3,Messenger RNA
AXL,AXL,Messenger RNA
LRRC8A,LRRC8A,Messenger RNA
SEMA6D,SEMA6D,Messenger RNA
S1PR1,S1PR1,Messenger RNA
AKAP12,AKAP12,Messenger RNA
NCOA3,NCOA3,Messenger RNA
LIN54,LIN54,Messenger RNA
SBNO1,SBNO1,Messenger RNA
FNIP1,FNIP1,Messenger RNA
CDS2,CDS2,Messenger RNA
RASGRP1,RASGRP1,Messenger RNA
AFAP1L2,AFAP1L2,Messenger RNA
EOGT,EOGT,Messenger RNA
KCNN3,KCNN3,Messenger RNA
ZFHX4,ZFHX4,Messenger RNA
SMARCAD1,SMARCAD1,Messenger RNA
CHST7,CHST7,Messenger RNA
ERG,ERG,Messenger RNA
ACER2,ACER2,Messenger RNA
CTDSPL2,CTDSPL2,Messenger RNA
TTC28,TTC28,Messenger RNA
PRKCA,PRKCA,Messenger RNA
DYNLL2,DYNLL2,Messenger RNA
PLEKHM3,PLEKHM3,Messenger RNA
CCDC85C,CCDC85C,Messenger RNA
UBASH3B,UBASH3B,Messenger RNA
FAR1,FAR1,Messenger RNA
FBXO28,FBXO28,Messenger RNA
JAK1,JAK1,Messenger RNA
ZFHX3,ZFHX3,Messenger RNA
NIPA1,NIPA1,Messenger RNA
ATP6V1A,ATP6V1A,Messenger RNA
MITF,MITF,Messenger RNA
NSUN4,NSUN4,Messenger RNA
LMOD1,LMOD1,Messenger RNA
SNCA,SNCA,Messenger RNA
PTPN9,PTPN9,Messenger RNA
ENAH,ENAH,Messenger RNA
IGF2,IGF2,Messenger RNA
EFCAB14,EFCAB14,Messenger RNA
YPEL2,YPEL2,Messenger RNA
TOLLIP,TOLLIP,Messenger RNA
ELAVL2,ELAVL2,Messenger RNA
CHST11,CHST11,Messenger RNA
SRGAP3,SRGAP3,Messenger RNA
IRGQ,IRGQ,Messenger RNA
GNG12,GNG12,Messenger RNA
INTS2,INTS2,Messenger RNA
BCL2L13,BCL2L13,Messenger RNA
DSC2,DSC2,Messenger RNA
ARIH1,ARIH1,Messenger RNA
IL6ST,IL6ST,Messenger RNA
KCTD20,KCTD20,Messenger RNA
BCL3,BCL3,Messenger RNA
MMP2,MMP2,Messenger RNA
MEOX2,MEOX2,Messenger RNA
CAMK2A,CAMK2A,Messenger RNA
HMGCR,HMGCR,Messenger RNA
SH2B3,SH2B3,Messenger RNA
COX4I1,COX4I1,Messenger RNA
STXBP5,STXBP5,Messenger RNA
MEST,MEST,Messenger RNA
BCORL1,BCORL1,Messenger RNA
ZC3H14,ZC3H14,Messenger RNA
BACE1,BACE1,Messenger RNA
XIAP,XIAP,Messenger RNA
FRZB,FRZB,Messenger RNA
SERPINH1,SERPINH1,Messenger RNA
GPBP1,GPBP1,Messenger RNA
PPP4R2,PPP4R2,Messenger RNA
KIF3A,KIF3A,Messenger RNA
WWTR1,WWTR1,Messenger RNA
TBCK,TBCK,Messenger RNA
INTS6L,INTS6L,Messenger RNA
NBEAL1,NBEAL1,Messenger RNA
HERPUD2,HERPUD2,Messenger RNA
PTPN14,PTPN14,Messenger RNA
CRISPLD2,CRISPLD2,Messenger RNA
CCNJL,CCNJL,Messenger RNA
TRIB2,TRIB2,Messenger RNA
RAB10,RAB10,Messenger RNA
KCTD10,KCTD10,Messenger RNA
NEDD4L,NEDD4L,Messenger RNA
DCUN1D4,DCUN1D4,Messenger RNA
MTPN,MTPN,Messenger RNA
LUZP1,LUZP1,Messenger RNA
ERBB3,ERBB3,Messenger RNA
KIRREL1,KIRREL1,Messenger RNA
KCNJ2,KCNJ2,Messenger RNA
PAPPA,PAPPA,Messenger RNA
MARCHF6,MARCHF6,Messenger RNA
NF1,NF1,Messenger RNA
SNAI1,SNAI1,Messenger RNA
LMTK2,LMTK2,Messenger RNA
SPATS2L,SPATS2L,Messenger RNA
STRADB,STRADB,Messenger RNA
PLAGL1,PLAGL1,Messenger RNA
FOXF1,FOXF1,Messenger RNA
PPM1D,PPM1D,Messenger RNA
STX17,STX17,Messenger RNA
ZC2HC1C,ZC2HC1C,Messenger RNA
DIRAS2,DIRAS2,Messenger RNA
BZW1,BZW1,Messenger RNA
MID2,MID2,Messenger RNA
FYN,FYN,Messenger RNA
RAB6B,RAB6B,Messenger RNA
PMEPA1,PMEPA1,Messenger RNA
SLC25A12,SLC25A12,Messenger RNA
SLC38A7,SLC38A7,Messenger RNA
ZNF37A,ZNF37A,Messenger RNA
BCL2,BCL2,Messenger RNA
GPCPD1,GPCPD1,Messenger RNA
TNS3,TNS3,Messenger RNA
PLEKHA3,PLEKHA3,Messenger RNA
RILPL1,RILPL1,Messenger RNA
RFTN1,RFTN1,Messenger RNA
ANO6,ANO6,Messenger RNA
ASB14,ASB14,Messenger RNA
GIT2,GIT2,Messenger RNA
MYRIP,MYRIP,Messenger RNA
CYB561D1,CYB561D1,Messenger RNA
NOL4L,NOL4L,Messenger RNA
USP31,USP31,Messenger RNA
RBM33,RBM33,Messenger RNA
RPS6KA3,RPS6KA3,Messenger RNA
CDC42BPB,CDC42BPB,Messenger RNA
SLC25A26,SLC25A26,Messenger RNA
MINDY2,MINDY2,Messenger RNA
ALX4,ALX4,Messenger RNA
ENTPD4,ENTPD4,Messenger RNA
RBFOX2,RBFOX2,Messenger RNA
SENP5,SENP5,Messenger RNA
HS3ST5,HS3ST5,Messenger RNA
RPAP2,RPAP2,Messenger RNA
AFF3,AFF3,Messenger RNA
SETD7,SETD7,Messenger RNA
GOLT1A,GOLT1A,Messenger RNA
NEGR1,NEGR1,Messenger RNA
ETV6,ETV6,Messenger RNA
ZBTB37,ZBTB37,Messenger RNA
RCOR3,RCOR3,Messenger RNA
CEP41,CEP41,Messenger RNA
PAWR,PAWR,Messenger RNA
CHIC1,CHIC1,Messenger RNA
DALRD3,DALRD3,Messenger RNA
MAP3K7,MAP3K7,Messenger RNA
MSRB3,MSRB3,Messenger RNA
SPRY2,SPRY2,Messenger RNA
VRK3,VRK3,Messenger RNA
TMEM167A,TMEM167A,Messenger RNA
TMEM251,TMEM251,Messenger RNA
PDE7B,PDE7B,Messenger RNA
JPH2,JPH2,Messenger RNA
STOX2,STOX2,Messenger RNA
CREB1,CREB1,Messenger RNA
HIF1AN,HIF1AN,Messenger RNA
TMEM184B,TMEM184B,Messenger RNA
ZNF281,ZNF281,Messenger RNA
TPM4,TPM4,Messenger RNA
WIPF1,WIPF1,Messenger RNA
SH3BGRL2,SH3BGRL2,Messenger RNA
POLR3D,POLR3D,Messenger RNA
BTG2,BTG2,Messenger RNA
ATXN7,ATXN7,Messenger RNA
RNF122,RNF122,Messenger RNA
PDE12,PDE12,Messenger RNA
SEPTIN11,SEPTIN11,Messenger RNA
GNS,GNS,Messenger RNA
GRAP2,GRAP2,Messenger RNA
RIC1,RIC1,Messenger RNA
DDX3X,DDX3X,Messenger RNA
SAMD4A,SAMD4A,Messenger RNA
AFF2,AFF2,Messenger RNA
DAAM2,DAAM2,Messenger RNA
RAB11FIP1,RAB11FIP1,Messenger RNA
PANK3,PANK3,Messenger RNA
ALS2,ALS2,Messenger RNA
