id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient,paths,pathway_reach,functional_impact
USP38,USP38,Messenger RNA,0.0,0,1,0.0,0.3235515425131678,0.0151515151515151,,,,
ACVR1B,ACVR1B,Messenger RNA,0.0,0,1,0.0,0.2649414664202095,0.0151515151515151,,,,
CARM1,CARM1,Messenger RNA,0.0,0,1,0.0,0.3082437275985663,0.0151515151515151,,,,
KCND2,KCND2,Messenger RNA,0.0,0,1,0.0,0.3109182935647144,0.0151515151515151,,,,
ZNF423,ZNF423,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.0151515151515151,,,,
RUNX1T1,RUNX1T1,Messenger RNA,0.0,0,1,0.0218790232156209,0.3640982218458933,0.0303030303030303,0.0,,,
TMED8,TMED8,Messenger RNA,0.0,0,1,0.0251199986710672,0.3168754605747974,0.0303030303030303,0.0,,,
AQR,AQR,Messenger RNA,0.0,0,1,0.0,0.2649414664202095,0.0151515151515151,,,,
YTHDC1,YTHDC1,Messenger RNA,0.0,0,1,0.0,0.3004891684136967,0.0151515151515151,,,,
SOS1,SOS1,Messenger RNA,0.0,0,1,0.0,0.2737110120942075,0.0151515151515151,,,,
TRAF6,TRAF6,Messenger RNA,0.0,0,1,0.0,0.2203997949769349,0.0151515151515151,,,,
PRELID2,PRELID2,Messenger RNA,0.0,0,1,0.0,0.2203997949769349,0.0151515151515151,,,,
RPS6KA2,RPS6KA2,Messenger RNA,0.0,0,1,0.0,0.3634826711749788,0.0151515151515151,,,,
LPP,LPP,Messenger RNA,0.0,0,1,0.0344827586206896,0.3127272727272727,0.0303030303030303,0.0,,,
CNOT6L,CNOT6L,Messenger RNA,0.0,0,1,0.0,0.3004891684136967,0.0151515151515151,,,,
CSNK1A1,CSNK1A1,Messenger RNA,0.0,0,1,0.0,0.3220973782771535,0.0151515151515151,,,,
TCF4,TCF4,Messenger RNA,0.0,0,1,0.0337696858837297,0.370051635111876,0.0454545454545454,0.3333333333333333,,,
STMP1,STMP1,Messenger RNA,0.0,0,1,0.0,0.2723242558581381,0.0151515151515151,,,,
CPEB3,CPEB3,Messenger RNA,0.0,0,1,0.0118543175354841,0.2949245541838134,0.0303030303030303,0.0,,,
RRAGD,RRAGD,Messenger RNA,0.0,0,1,0.0,0.2551928783382789,0.0151515151515151,,,,
TTLL7,TTLL7,Messenger RNA,0.0,1,0,,,,,,,
HMCN1,HMCN1,Messenger RNA,0.0,0,1,0.0,0.3171091445427728,0.0151515151515151,,,,
ADAM19,ADAM19,Messenger RNA,0.0,0,1,0.0,0.2535377358490566,0.0151515151515151,,,,
BHLHE41,BHLHE41,Messenger RNA,0.0,7,0,,,,,,,
STAG2,STAG2,Messenger RNA,0.0,0,1,0.0,0.2075289575289575,0.0151515151515151,,,,
PPP1R9A,PPP1R9A,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
YY1,YY1,Messenger RNA,0.0,0,1,0.0157983923420902,0.3240391861341371,0.0303030303030303,0.0,,,
ATP7A,ATP7A,Messenger RNA,0.0,24,0,,,,,,,
MYEF2,MYEF2,Messenger RNA,0.0,0,1,0.0,0.2786779001944264,0.0151515151515151,,,,
CDH6,CDH6,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
CNNM2,CNNM2,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.0151515151515151,,,,
ZKSCAN1,ZKSCAN1,Messenger RNA,0.0,25,0,,,,,,,
ITGA2,ITGA2,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.0151515151515151,,,,
BHLHE22,BHLHE22,Messenger RNA,0.0,0,1,0.0,0.270440251572327,0.0151515151515151,,,,
AFF4,AFF4,Messenger RNA,0.0,0,1,0.0206528850462209,0.3574397339983375,0.0303030303030303,1.0,,,
CBX2,CBX2,Messenger RNA,0.0,0,1,0.0,0.2774193548387096,0.0151515151515151,,,,
ATXN7L1,ATXN7L1,Messenger RNA,0.0,0,1,0.0,0.3364632237871675,0.0151515151515151,,,,
BACH2,BACH2,Messenger RNA,0.0,0,1,0.0123536066066763,0.3323029366306028,0.0303030303030303,1.0,,,
USP46,USP46,Messenger RNA,0.0,26,0,,,,,,,
NEK4,NEK4,Messenger RNA,0.0,0,1,0.0,0.2649414664202095,0.0151515151515151,,,,
ZNF740,ZNF740,Messenger RNA,0.0,0,1,0.0302387267904509,0.2660891089108911,0.0303030303030303,0.0,,,
ITGAV,ITGAV,Messenger RNA,0.0,0,1,0.0,0.3006993006993007,0.0151515151515151,,,,
PALM2AKAP2,PALM2AKAP2,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
CCND2,CCND2,Messenger RNA,0.0,0,1,0.0241267824740266,0.3808680248007086,0.0303030303030303,0.0,,,
RAP2B,RAP2B,Messenger RNA,0.0,0,1,0.0,0.3143274853801169,0.0151515151515151,,,,
CABLES2,CABLES2,Messenger RNA,0.0,2,0,,,,,,,
KIAA1217,KIAA1217,Messenger RNA,0.0,0,1,0.0,0.3364632237871675,0.0151515151515151,,,,
PPM1F,PPM1F,Messenger RNA,0.0,0,1,0.0,0.270440251572327,0.0151515151515151,,,,
HIPK2,HIPK2,Messenger RNA,0.0,0,1,0.0049859939655469,0.340729001584786,0.0303030303030303,1.0,,,
PTPN4,PTPN4,Messenger RNA,0.0,0,1,0.0,0.3004891684136967,0.0151515151515151,,,,
SMAD2,SMAD2,Messenger RNA,0.0,0,1,0.0,0.3235515425131678,0.0151515151515151,,,,
SHROOM4,SHROOM4,Messenger RNA,0.0,0,1,0.0,0.270440251572327,0.0151515151515151,,,,
SKP1,SKP1,Messenger RNA,0.0,27,0,,,,,,,
ARL4C,ARL4C,Messenger RNA,0.0,0,1,0.0,0.270440251572327,0.0151515151515151,,,,
FAT3,FAT3,Messenger RNA,0.0,0,1,0.0,0.3252647503782148,0.0151515151515151,,,,
LPGAT1,LPGAT1,Messenger RNA,0.0,0,1,0.0,0.2462772050400916,0.0151515151515151,,,,
TET3,TET3,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.0151515151515151,,,,
AJAP1,AJAP1,Messenger RNA,0.0,8,0,,,,,,,
GALNT3,GALNT3,Messenger RNA,0.0,0,1,0.0,0.2535377358490566,0.0151515151515151,,,,
ADAMTS2,ADAMTS2,Messenger RNA,0.0,0,1,0.0,0.3082437275985663,0.0151515151515151,,,,
TGOLN2,TGOLN2,Messenger RNA,0.0,0,1,0.0230938492296832,0.3916211293260473,0.0303030303030303,1.0,,,
NFIC,NFIC,Messenger RNA,0.0,0,1,0.0,0.2349726775956284,0.0151515151515151,,,,
LSM11,LSM11,Messenger RNA,0.0,0,1,0.0,0.2203997949769349,0.0151515151515151,,,,
COL6A3,COL6A3,Messenger RNA,0.0,0,1,0.0,0.3171091445427728,0.0151515151515151,,,,
DCUN1D3,DCUN1D3,Messenger RNA,0.0,0,1,0.0,0.3634826711749788,0.0151515151515151,,,,
RTF1,RTF1,Messenger RNA,0.0,0,1,0.0,0.3004891684136967,0.0151515151515151,,,,
PPP6R3,PPP6R3,Messenger RNA,0.0,0,1,0.0,0.270440251572327,0.0151515151515151,,,,
GRIN2A,GRIN2A,Messenger RNA,0.0,0,1,0.0,0.3143274853801169,0.0151515151515151,,,,
CTNND2,CTNND2,Messenger RNA,0.0,0,1,0.0,0.3004891684136967,0.0151515151515151,,,,
DOK6,DOK6,Messenger RNA,0.0,0,1,0.0,0.2740599107711918,0.0151515151515151,,,,
RASGRF2,RASGRF2,Messenger RNA,0.0,0,1,0.0,0.3634826711749788,0.0151515151515151,,,,
ENTPD1,ENTPD1,Messenger RNA,0.0,0,1,0.0,0.3237951807228915,0.0151515151515151,,,,
CTTNBP2NL,CTTNBP2NL,Messenger RNA,0.0,0,1,0.0,0.3143274853801169,0.0151515151515151,,,,
ZBTB16,ZBTB16,Messenger RNA,0.0,9,0,,,,,,,
RND3,RND3,Messenger RNA,0.0,0,1,0.0,0.274234693877551,0.0151515151515151,,,,
AXL,AXL,Messenger RNA,0.0,0,1,0.0,0.3109182935647144,0.0151515151515151,,,,
LRRC8A,LRRC8A,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.0151515151515151,,,,
SEMA6D,SEMA6D,Messenger RNA,0.0,0,1,0.0,0.2349726775956284,0.0151515151515151,,,,
S1PR1,S1PR1,Messenger RNA,0.0,28,0,,,,,,,
AKAP12,AKAP12,Messenger RNA,0.0,0,1,0.0,0.3252647503782148,0.0151515151515151,,,,
NCOA3,NCOA3,Messenger RNA,0.0,0,1,0.0,0.2767052767052767,0.0151515151515151,,,,
LIN54,LIN54,Messenger RNA,0.0,0,1,0.0,0.3004891684136967,0.0151515151515151,,,,
SBNO1,SBNO1,Messenger RNA,0.0,0,1,0.0,0.2440408626560726,0.0151515151515151,,,,
FNIP1,FNIP1,Messenger RNA,0.0,0,1,0.0,0.2527924750146972,0.0151515151515151,,,,
CDS2,CDS2,Messenger RNA,0.0,0,1,0.0087343690791966,0.3009097270818754,0.0303030303030303,0.0,,,
RASGRP1,RASGRP1,Messenger RNA,0.0,29,0,,,,,,,
AFAP1L2,AFAP1L2,Messenger RNA,0.0,0,1,0.0,0.2203997949769349,0.0151515151515151,,,,
EOGT,EOGT,Messenger RNA,0.0,0,1,0.0718264494126563,0.3182827535159141,0.0303030303030303,0.0,,,
KCNN3,KCNN3,Messenger RNA,2.0,0,1,0.0,0.2774193548387096,0.0151515151515151,,,,
ZFHX4,ZFHX4,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.0151515151515151,,,,
SMARCAD1,SMARCAD1,Messenger RNA,0.0,0,1,0.0,0.1923076923076923,0.0151515151515151,,,,
