accession_id,mirna_name,gene_name,mirtarbase,correlation,pvalue,qvalue,is_interaction_of_interest
MIMAT0003218,hsa-miR-92b-3p,KLHL29,,0.0485173423803467,0.7006350812865276,0.9685519512939476,0
MIMAT0003218,hsa-miR-92b-3p,PCMTD1,MIRT040682,-0.1085630946593513,0.1189417604007289,0.4478428145177986,0
MIMAT0003218,hsa-miR-92b-3p,MBOAT2,,0.0496284464198902,0.7048129192933101,0.9712616928664866,0
MIMAT0003218,hsa-miR-92b-3p,TOR1AIP2,,0.1437808181123689,0.94140831261853,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,NKX2-3,,-0.0625157438516835,0.2487839133960486,0.6296683223043112,0
MIMAT0003218,hsa-miR-92b-3p,SEL1L3,,-0.0130911868879783,0.4435748322569263,0.8091000031055982,0
MIMAT0003218,hsa-miR-92b-3p,BAZ2A,,-0.0464060004166956,0.3073757465136297,0.6936961100474169,0
MIMAT0003218,hsa-miR-92b-3p,CACNA2D1,,-0.0678936037224807,0.2306209919891014,0.609976573035345,0
MIMAT0003218,hsa-miR-92b-3p,PIK3R3,,0.1651086881033404,0.964237793563079,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,GPATCH8,,-0.0648933953746787,0.2406623309783765,0.6213362287751651,0
MIMAT0003218,hsa-miR-92b-3p,ARPP19,,0.0121883464129453,0.5525569075071903,0.8863171248018203,0
MIMAT0003218,hsa-miR-92b-3p,PLEKHG3,,0.0064865615667754,0.5280280148662329,0.8707486446786437,0
MIMAT0003218,hsa-miR-92b-3p,SMIM14,,-0.0953191193832905,0.1501945029663585,0.5003526050025906,0
MIMAT0003218,hsa-miR-92b-3p,KALRN,,-0.0930760696509313,0.1559789940830404,0.5087141889728821,0
MIMAT0003218,hsa-miR-92b-3p,GLYR1,MIRT727073,0.0682547399124939,0.7705719024340301,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,TBC1D30,,0.157115077435933,0.9567131673237168,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,AQP2,,0.123382464104367,0.9102953783793531,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,SNX30,,-0.0047642197374817,0.47940640334626,0.8352030053473056,0
MIMAT0003218,hsa-miR-92b-3p,SFMBT2,,-0.0741857073407875,0.2103325022321155,0.5846845904384851,0
MIMAT0003218,hsa-miR-92b-3p,TNRC6B,,-0.0998055420515313,0.1390534326745227,0.4818128946328602,0
MIMAT0003218,hsa-miR-92b-3p,SIRPA,,0.1410167372734217,0.9377650961139138,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,TENT4B,MIRT143326,-0.2119938884644766,0.0100505598634658,0.1400845940022885,0
MIMAT0003218,hsa-miR-92b-3p,UBE2W,,-0.1860268074171817,0.0209614408044385,0.1977011105384444,0
MIMAT0003218,hsa-miR-92b-3p,MAN2A1,MIRT727259,-0.0654142648795055,0.2389023668576346,0.618966113351917,0
MIMAT0003218,hsa-miR-92b-3p,ALPK3,,-0.020556983123828,0.4118234175927506,0.7847423410727123,0
MIMAT0003218,hsa-miR-92b-3p,ITM2B,,0.0487186610181262,0.7013940165370693,0.9691455031654508,0
MIMAT0003218,hsa-miR-92b-3p,C16orf87,,-0.081582054309327,0.187859899817598,0.5543691646183567,0
MIMAT0003218,hsa-miR-92b-3p,RABGAP1L,,0.054691298006806,0.7235053108082488,0.9795123200586928,0
MIMAT0003218,hsa-miR-92b-3p,TMCC1,,0.0057365094798249,0.5247914794672797,0.8684087149076907,0
MIMAT0003218,hsa-miR-92b-3p,RRBP1,,-0.0138065143412737,0.4405137259997925,0.8069910374976843,0
MIMAT0003218,hsa-miR-92b-3p,KIF1B,MIRT128091,-0.107556080283353,0.1211452292464379,0.452087376980294,0
MIMAT0003218,hsa-miR-92b-3p,KPNA5,,0.0172998124869782,0.5743815208875996,0.9012391505991916,0
MIMAT0003218,hsa-miR-92b-3p,ZNF652,,0.0037849850684075,0.516363449527397,0.8626102440185606,0
MIMAT0003218,hsa-miR-92b-3p,GRM2,,0.0547262126755597,0.7236322026539956,0.9795552609430948,0
MIMAT0003218,hsa-miR-92b-3p,FNDC3B,MIRT091083,0.1171331342454336,0.8986841639243399,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,TENT4A,MIRT096936,0.0195846933814848,0.5840691010752963,0.9058065554949476,0
MIMAT0003218,hsa-miR-92b-3p,SAR1B,,0.011486908813112,0.5495481373556548,0.8844199705560748,0
MIMAT0003218,hsa-miR-92b-3p,DKK3,MIRT438225,-0.0056809500659768,0.4754483307588387,0.8326059096095381,0
MIMAT0003218,hsa-miR-92b-3p,TTLL7,,-0.0130911868879783,0.4435748322569263,0.8091000031055982,0
MIMAT0003218,hsa-miR-92b-3p,PAFAH1B1,MIRT144952,-0.0149177026182373,0.4357656266989488,0.8035503719618589,0
MIMAT0003218,hsa-miR-92b-3p,SLC25A16,MIRT726549,0.0180637544273907,0.5776257659609045,0.9030605843228042,0
MIMAT0003218,hsa-miR-92b-3p,MCOLN2,MIRT473452,-0.0245364261407042,0.3951158316449055,0.770908808261235,0
MIMAT0003218,hsa-miR-92b-3p,SREK1IP1,,0.0589693728731161,0.7388398432992496,0.9868198980856888,0
MIMAT0003218,hsa-miR-92b-3p,GAS2L3,,0.1152024446142093,0.8948874500216257,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,GPR180,,-0.0528439474963539,0.2832485085869582,0.6685236398564743,0
MIMAT0003218,hsa-miR-92b-3p,PAX3,,0.0832524237617022,0.8170048339530056,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,SCN8A,,0.0076394194041252,0.5329990557807252,0.8739460780403328,0
MIMAT0003218,hsa-miR-92b-3p,LPP,,0.1158135981665393,0.8961001247228215,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,BICRAL,,-0.0957288700604208,0.1491532663713972,0.498983489618402,0
MIMAT0003218,hsa-miR-92b-3p,SPOCK2,MIRT726464,-0.050475727481075,0.2920191604659162,0.6781822540317768,0
MIMAT0003218,hsa-miR-92b-3p,PLEKHM1,,0.0224287187608781,0.5960566493346746,0.9134210383941642,0
MIMAT0003218,hsa-miR-92b-3p,TECPR2,MIRT069314,-0.0599138829085353,0.2578337292068857,0.6396743881956297,0
