source,target,mediators,total_mediators
hsa-miR-24-3p,KEGG:04144,TMED8,1
hsa-miR-128-3p,KEGG:04310,HIPK2,1
hsa-let-7i-5p,KEGG:04713,MSI2,1
hsa-let-7i-5p,KEGG:04720,MSI2,1
hsa-let-7i-5p,KEGG:04725,MSI2,1
hsa-miR-125b-5p,KEGG:01521,CCDC85C,1
hsa-miR-125b-5p,KEGG:04151,CCDC85C,1
hsa-miR-125b-5p,KEGG:04380,CCDC85C,1
hsa-miR-125b-5p,KEGG:04550,CCDC85C,1
hsa-miR-125b-5p,KEGG:04630,CCDC85C,1
hsa-miR-125b-5p,KEGG:05161,CCDC85C,1
hsa-miR-125b-5p,KEGG:05200,CCDC85C,1
hsa-miR-128-3p,KEGG:01521,KIRREL1,1
hsa-miR-128-3p,KEGG:04010,KIRREL1,1
hsa-miR-128-3p,KEGG:04014,KIRREL1,1
hsa-miR-128-3p,KEGG:05200,HIPK2,1
hsa-miR-150-5p,KEGG:05215,ABI2,1
hsa-miR-130b-3p,KEGG:04144,KIAA1217,1
hsa-miR-130b-3p,KEGG:04218,KIAA1217,1
hsa-miR-130b-3p,KEGG:04550,KIAA1217,1
hsa-miR-130b-3p,KEGG:04926,KIAA1217,1
hsa-miR-130b-3p,KEGG:05200,KIAA1217,1
hsa-miR-130b-3p,KEGG:05205,KIAA1217,1
hsa-miR-130b-3p,KEGG:05225,KIAA1217,1
hsa-miR-148a-3p,KEGG:04144,SPIN1,1
hsa-miR-150-5p,KEGG:04068,ABI2,1
hsa-miR-150-5p,KEGG:04152,ABI2,1
hsa-miR-150-5p,KEGG:04218,ABI2,1
hsa-miR-150-5p,KEGG:05200,ABI2,1
hsa-miR-150-5p,KEGG:05202,ABI2,1
hsa-miR-185-5p,KEGG:04150,NFIX,1
hsa-miR-185-5p,KEGG:04151,NFIX,1
hsa-miR-185-5p,KEGG:04152,NFIX,1
hsa-miR-205-5p,KEGG:04010,SATB2,1
hsa-miR-193b-3p,KEGG:04510,RUNX1T1,1
hsa-miR-193b-3p,KEGG:04630,RUNX1T1,1
hsa-miR-193b-3p,KEGG:04722,RUNX1T1,1
hsa-miR-193b-3p,KEGG:04926,RUNX1T1,1
hsa-miR-193b-3p,KEGG:05161,RUNX1T1,1
hsa-miR-193b-3p,KEGG:05200,RUNX1T1,1
hsa-miR-193b-3p,KEGG:05205,RUNX1T1,1
hsa-miR-193b-3p,KEGG:05214,RUNX1T1,1
hsa-miR-193b-3p,KEGG:05215,RUNX1T1,1
hsa-miR-193b-3p,KEGG:05224,RUNX1T1,1
hsa-miR-193b-3p,KEGG:05225,RUNX1T1,1
hsa-miR-200b-3p,KEGG:04310,GRAP2,1
hsa-miR-205-5p,KEGG:01521,SATB2,1
hsa-miR-205-5p,KEGG:04144,SATB2,1
hsa-miR-185-5p,KEGG:04218,NFIX,1
hsa-miR-205-5p,KEGG:04380,SRGAP1,1
hsa-miR-205-5p,KEGG:04510,SATB2,1
hsa-miR-205-5p,KEGG:04630,SATB2,1
hsa-miR-205-5p,KEGG:04713,BMF,1
hsa-miR-205-5p,KEGG:04725,BMF,1
hsa-miR-205-5p,KEGG:04926,BMF,1
hsa-let-7i-5p,KEGG:04010,MSI2,1
hsa-miR-205-5p,KEGG:05215,SATB2,1
hsa-miR-205-5p,KEGG:05218,SATB2,1
hsa-miR-23b-3p,KEGG:04150,FBXO28,1
hsa-miR-24-3p,KEGG:01521,NEDD4L,1
hsa-miR-24-3p,KEGG:04012,NEDD4L,1
hsa-miR-24-3p,KEGG:04068,NEK4,1
hsa-miR-193b-3p,KEGG:04151,RUNX1T1,1
hsa-miR-193b-3p,KEGG:04150,RUNX1T1,1
hsa-miR-193b-3p,KEGG:04068,RUNX1T1,1
hsa-miR-193b-3p,KEGG:04014,RUNX1T1,1
hsa-miR-185-5p,KEGG:04380,NFIX,1
hsa-miR-185-5p,KEGG:04510,NFIX,1
hsa-miR-185-5p,KEGG:04550,NFIX,1
hsa-miR-185-5p,KEGG:04630,NFIX,1
hsa-miR-185-5p,KEGG:04722,NFIX,1
hsa-miR-185-5p,KEGG:04725,NFIX,1
hsa-miR-185-5p,KEGG:04926,NFIX,1
hsa-miR-185-5p,KEGG:05161,NFIX,1
hsa-miR-185-5p,KEGG:05200,NFIX,1
hsa-miR-185-5p,KEGG:05205,NFIX,1
hsa-miR-185-5p,KEGG:05214,NFIX,1
hsa-miR-185-5p,KEGG:05215,NFIX,1
hsa-miR-185-5p,KEGG:05218,NFIX,1
hsa-miR-185-5p,KEGG:05222,NFIX,1
hsa-miR-185-5p,KEGG:05224,NFIX,1
hsa-miR-185-5p,KEGG:05225,NFIX,1
hsa-miR-186-5p,KEGG:04010,CEP41,1
hsa-miR-186-5p,KEGG:04140,CEP41,1
hsa-miR-186-5p,KEGG:04144,RILPL1,1
hsa-miR-186-5p,KEGG:04152,CEP41,1
hsa-miR-186-5p,KEGG:04310,CEP41,1
hsa-miR-186-5p,KEGG:04380,CEP41,1
hsa-miR-186-5p,KEGG:04520,CEP41,1
hsa-miR-186-5p,KEGG:05161,CEP41,1
hsa-miR-193b-3p,KEGG:01522,RUNX1T1,1
hsa-miR-193b-3p,KEGG:04010,RUNX1T1,1
hsa-miR-193b-3p,KEGG:04012,RUNX1T1,1
hsa-miR-7-5p,KEGG:05161,BMPR2,1
