metrics,total_metrics,source,target,target_label,mediators,total_mediators
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04151,PI3K-Akt signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04150,mTOR signaling pathway,RUNX1T1,1
functional_impact; redundancy_coefficient,2.0,hsa-let-7i-5p,KEGG:04720,Long-term potentiation,MSI2,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04014,Ras signaling pathway,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-181b-5p,KEGG:04010,MAPK signaling pathway,CBX7,1
functional_impact; pathway_reach,2.0,hsa-miR-181b-5p,KEGG:01522,Endocrine resistance,ZBTB4,1
functional_impact; pathway_reach,2.0,hsa-miR-378a-3p,KEGG:04068,FoxO signaling pathway,ABI2,1
functional_impact; pathway_reach,2.0,hsa-miR-378a-3p,KEGG:04144,Endocytosis,CAMKK2,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:05200,Pathways in cancer,SATB2; BMF,2
functional_impact; pathway_reach,2.0,hsa-miR-378a-3p,KEGG:04152,AMPK signaling pathway,ABI2,1
functional_impact; pathway_reach,2.0,hsa-miR-181b-5p,KEGG:05200,Pathways in cancer,CBX7; ZBTB4,2
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04520,Adherens junction,ATXN1; KCNJ2,2
functional_impact; pathway_reach,2.0,hsa-miR-378a-3p,KEGG:04218,Cellular senescence,ABI2,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,RUNX1T1; ENTPD1,2
functional_impact; pathway_reach,2.0,hsa-miR-378a-3p,KEGG:05200,Pathways in cancer,ABI2,1
functional_impact; pathway_reach,2.0,hsa-miR-181b-5p,KEGG:05224,Breast cancer,CBX7; ZBTB4,2
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04014,Ras signaling pathway,SATB2; BMF,2
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04151,PI3K-Akt signaling pathway,SATB2; BMF,2
functional_impact; pathway_reach,2.0,hsa-miR-378a-3p,KEGG:05202,Transcriptional misregulation in cancer,ABI2,1
functional_impact; pathway_reach,2.0,hsa-miR-378a-3p,KEGG:05215,Prostate cancer,ABI2,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:05214,Glioma,SATB2,1
functional_impact; pathway_reach,2.0,hsa-miR-181b-5p,KEGG:05205,Proteoglycans in cancer,ZBTB4,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:01522,Endocrine resistance,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04140,Autophagy - animal,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04068,FoxO signaling pathway,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04012,ErbB signaling pathway,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-181b-5p,KEGG:04014,Ras signaling pathway,CBX7,1
