accession_id,mirna_name,gene_name,mirtarbase,correlation,pvalue,qvalue,is_interaction_of_interest
MIMAT0000722,hsa-miR-370-3p,PLCH2,,0.2396144842196094,0.9623538335943187,0.9999999999998256,0
MIMAT0000722,hsa-miR-370-3p,SPTSSB,,-0.1489430783381911,0.13663265573494826,0.6435603308874023,0
MIMAT0000722,hsa-miR-370-3p,FAM168B,,0.1633999214169095,0.8855701516135035,0.9999999999998256,0
MIMAT0000722,hsa-miR-370-3p,STK16,,0.14060390644408402,0.849337826949655,0.9979452323990867,0
MIMAT0000722,hsa-miR-370-3p,AR,,0.2770724038751068,0.980648025437917,0.9999999999998256,0
MIMAT0000722,hsa-miR-370-3p,F13A1,,0.5241032827710327,0.9999830579508164,0.9999999999998256,0
MIMAT0000722,hsa-miR-370-3p,NF1,MIRT007052,0.16251132113311123,0.8842821824937728,0.9999999999998256,0
MIMAT0000722,hsa-miR-370-3p,GRIK3,,0.11148515868269374,0.7933261039657529,0.985737553924066,0
MIMAT0000722,hsa-miR-370-3p,ZNF740,,0.2002426562605465,0.9305252653420881,0.9999999999998256,0
MIMAT0000722,hsa-miR-370-3p,SHE,,0.19730343993721364,0.9275182028613194,0.9999999999998256,0
MIMAT0000722,hsa-miR-370-3p,CYB5RL,,0.209914728580351,0.9397627546226136,0.9999999999998256,0
MIMAT0000722,hsa-miR-370-3p,TESMIN,,0.22023616264600812,0.9485569548055502,0.9999999999998256,0
MIMAT0000722,hsa-miR-370-3p,CD3D,MIRT624399,-0.10140296315498233,0.22854857266989365,0.7337397757854011,0
MIMAT0000727,hsa-miR-374a-5p,MAP2K6,,-0.10847573479152427,0.21307364947042007,0.7170791363563904,0
MIMAT0000727,hsa-miR-374a-5p,TACC1,MIRT105867,0.037525632262474365,0.6081802194435091,0.9297501468351217,0
MIMAT0000727,hsa-miR-374a-5p,MIPOL1,,-0.28858509911141494,0.01550333394862527,0.3783383256259358,0
MIMAT0000727,hsa-miR-374a-5p,DCUN1D1,,-0.24470266575529737,0.034560466371551385,0.46588730846443976,0
MIMAT0000727,hsa-miR-374a-5p,SETD7,,-0.08298017771701982,0.2715899847694269,0.7648849420558583,0
MIMAT0000727,hsa-miR-374a-5p,TFDP1,MIRT067980,0.013533834586466165,0.5394301374569908,0.9054429538454297,0
MIMAT0000732,hsa-miR-378a-3p,TLK2,,0.10861244019138756,0.7872194776034094,0.9844188892975748,0
MIMAT0000732,hsa-miR-378a-3p,MAP2K6,,0.13533834586466167,0.8400155992328419,0.9965907575258686,0
MIMAT0000732,hsa-miR-378a-3p,RBMS3,,-0.09480519480519481,0.2435202463906319,0.742010321998547,0
MIMAT0000732,hsa-miR-378a-3p,DYRK1A,,-0.05926179084073822,0.33219723348179386,0.8031767567838572,0
MIMAT0000732,hsa-miR-378a-3p,WBP2,,0.01674641148325359,0.5487487608394686,0.9092640369836947,0
MIMAT0000732,hsa-miR-378a-3p,NXPE3,,-0.13472317156527683,0.16109692700361164,0.6671561601259116,0
MIMAT0000732,hsa-miR-378a-3p,MOCS1,,-0.25208475734791524,0.030446201194001314,0.44813716730634257,0
MIMAT0000732,hsa-miR-378a-3p,REST,MIRT469370,-0.09651401230348598,0.23959390799959346,0.7407944100934754,0
MIMAT0000732,hsa-miR-378a-3p,CALN1,,-0.17120481728373219,0.10354236330011529,0.5989511809333211,0
MIMAT0000732,hsa-miR-378a-3p,UCK2,,-0.08940533151059467,0.2561461750635682,0.7518917562347265,0
MIMAT0000732,hsa-miR-378a-3p,IL6ST,,-0.3293233082706767,0.006598479344312625,0.3047413365604209,0
MIMAT0000732,hsa-miR-378a-3p,TENT4B,,-0.010116199589883803,0.4705063334778762,0.8771180602676455,0
MIMAT0000732,hsa-miR-378a-3p,CDC42BPA,,0.12023239917976761,0.8112877810685039,0.9907129789342164,0
MIMAT0000732,hsa-miR-378a-3p,SOX6,,-0.20916283603252167,0.0609199965133226,0.5294805845139271,0
MIMAT0000732,hsa-miR-378a-3p,FRMPD4,,0.23365920301171225,0.9584689681032948,0.9999999999998256,0
MIMAT0000732,hsa-miR-378a-3p,DCX,,-0.19963536882073335,0.0700882565681618,0.544632584872528,0
MIMAT0000732,hsa-miR-378a-3p,NPAS4,,-0.058665927994340256,0.3337854728162349,0.8039483774365271,0
