accession_id,is_expressed,64efe402-841b-49bc-a370-02a24880dd19,4ebd02b1-6eb1-4923-ad2f-5f4f107e6622,03589e93-5465-4e5b-91aa-be97a386e097,84d88e83-f246-45c8-a27c-5f146cb5a4b4,308d2039-4905-49de-861a-c70f97669068,7e17b2bf-91b2-4ea2-acc1-59e1537913ce,f041b9ca-ace6-4425-a928-1ffbf2737243,29cea98e-c370-473d-af6d-393e87c1bd31,7c3c4540-a63e-4737-a23d-a9c999c53f39,ef076f15-36a4-4e8a-a624-8cdeb9c4fa2d,d4a3af62-0505-49f6-9f34-168bec5cb0d0,485f5497-8ed6-4c98-a733-710988850a13,c5b7ba42-889d-4b7a-a810-298ae179e9c2,5ec7ec6c-20c8-48af-964c-54125c9313c2,c42db931-0c5e-42bc-9590-2edbe16d7e56,6c67482e-8a8a-4a5c-b8be-d573afb35d54,f3533714-4d93-4e83-9f58-3c9dda0effba,27c8aced-b610-4c85-b7ed-3b111b55ef79,8c9b3702-7326-45fc-8457-168dd4921afb,ea6c109d-9823-4fa7-987d-78f2ed377312,3b8748ee-d541-4219-ba20-437311ae376a,5074a94f-c14e-441f-b006-cd8895a550e5,3f0c486c-70c8-4537-a4cc-1ea2e302706d,5e01bf11-33c4-4d86-a97e-54ef83a86a04,3e75bf39-6c1e-460b-956e-3e999daa919c,1c73346e-7c14-4b9e-b43d-4478181e0a4a,4be7af1f-00a3-400a-9584-04756550a692,86723871-7176-4e6c-b9b2-dcf4acf99075,600fc778-f0e3-4362-ad0c-cdb64fc76e7b,82bf32b4-0410-4426-9591-33210d995b98,3f5ad0e5-ab95-4c1e-8dfe-09cab1d1500c,cd746011-8fd7-473d-84e7-f39ec60b6717,12c76136-cc83-42c0-886b-4b4ea167a0d7,268512d6-01f2-4afa-bfbc-55698afe6a1f,7734be37-d611-4651-83e4-7a9e78daf8a2,38a63af6-4f43-4eea-aff2-a42b4118482a,803da4bd-a731-423b-b689-9c876dec117f,1f7bbed4-631f-4f97-84a7-9f9bd9eba94c,acad335c-080a-442e-84d8-235fa3116bc6,8ca0e4c1-92ab-4653-87e0-cdcc630d8db6,af1bb8e0-9d0f-4e54-9ca4-9b311129a412,42a6d971-d671-4860-835f-15d184d416b0,bf370830-8f1c-4ca5-a838-aba83f5a964f,3a587350-9c2f-43ea-a607-1eec5356f34b,80a3007d-3d24-48c8-bdb4-38605dcd408f,8790fe0b-8d3a-4f2c-8201-1231da243697,f52a43ab-8cf4-4611-a13a-195778748214,c786cbe6-bedd-4ff1-9c19-8026aaabc738,8e5ae73e-8a65-4060-874e-9c0ab8311fcb,afd9ffe6-e019-4ea3-ab5f-41a57f9db4de,85fb34fe-c751-4806-87a9-419e9ed39dfc,15a6e18f-00b4-4369-8588-294605e0e952,3ef8d2e0-14fe-438a-bbcd-d0382a4085de,485f30ed-85f1-4402-ad3e-8e1ff3a75a36,cea36b7b-8225-4b98-8371-66ee50eb0641,9b71b456-248a-4ec9-8fd3-bc0c1ea2d852
MIMAT0018355,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347271,0.0,0.0,0.0,0.0
MIMAT0018356,0,0.0,0.0,0.0,0.381244,0.555443,0.0,1.01778,0.0,0.0,0.0,0.710434,0.624998,0.0,0.472607,0.0,0.0,0.444101,0.2589,0.22897,0.472148,0.0,0.0,0.256209,0.771067,0.0,0.0,0.0,0.619809,0.537339,0.252043,0.0,0.0,0.0,0.430227,0.0,0.674092,0.0,0.703174,0.0,0.918413,0.0,0.496811,0.0,0.0,0.0,0.0,0.0,0.584227,0.293147,1.056678,0.378003,0.347271,0.0,0.497436,0.686683,0.72964
MIMAT0018358,0,0.0,0.465242,0.0,0.0,0.0,0.282412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22897,0.0,0.0,0.0,0.0,0.0,0.0,0.462149,0.0,0.0,0.0,0.504087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.292113,0.0,0.0,0.0,0.0,0.0,0.248718,0.686683,0.0
MIMAT0018359,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.701761,0.0,0.0,0.0,0.31178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293147,0.0,0.0,0.0,0.0,0.0,0.0,0.36482
MIMAT0018360,0,0.0,0.0,0.0,0.762487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312499,0.693406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31178,0.462149,0.0,0.0,0.0,0.252043,0.0,0.597857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72964
MIMAT0018443,1,0.0,9.30484,3.882495,0.0,0.555443,1.976884,5.59779,0.0,0.0,2.075356,0.710434,0.312499,0.0,0.0,9.071924,4.355004,0.888202,0.2589,0.22897,0.0,0.0,4.424295,2.818299,0.771067,0.0,0.0,3.32341,0.309905,2.686693,0.252043,3.12264,0.0,1.441232,0.0,0.310305,0.674091,0.0,0.0,1.088274,0.918412,0.0,0.0,1.186159,0.316131,0.575249,0.247061,3.993805,0.0,0.293147,0.352226,16.254109,0.694542,0.0,0.0,0.0,0.0
MIMAT0018444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0018445,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0018926,0,0.0,0.0,1.725554,0.381244,3.8881,1.129648,3.0533399999999995,2.276836,0.559674,0.691786,0.355217,2.812495,0.0,1.417821,1.295988,1.583637,0.0,1.0356,0.45794,5.665778,1.701762,1.106074,0.256209,1.542134,1.247121,0.924298,1.477071,1.239619,4.836048,0.756129,2.73231,0.0,0.480411,0.860455,0.310305,2.696365,0.0,1.054761,0.0,1.377619,2.118059,1.987243,3.163092,2.52905,1.438124,1.235304,2.15051,0.292113,0.293147,3.170031,2.268017,2.083626,0.600021,0.497435,0.0,0.0
MIMAT0018932,0,0.0,0.0,0.862776,0.0,0.0,0.0,0.50889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553037,0.0,0.0,0.0,0.0,0.369268,0.0,1.074678,0.0,0.0,0.0,0.0,0.430227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
