file_id,data_format,data_type,sample_type,tissue_type,created_datetime,updated_datetime,case_id
d8ce29f1-3d83-4639-b02b-849510bc17d8,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:08:30.295509-06:00,2024-07-30T09:13:41.021181-05:00,da98be9d-7acf-43ce-aa24-38d1d2604506
498e5e18-7443-4799-af81-6d829f819da6,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T17:57:02.408995-06:00,2024-07-30T09:13:09.066530-05:00,00d8e96f-f231-4475-9e9f-c1f8aec28e4e
47e6e873-d537-4ae8-ab5d-9691c4b8d480,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:12:15.785527-05:00,2024-07-29T16:59:24.871688-05:00,00d8e96f-f231-4475-9e9f-c1f8aec28e4e
303bbf8f-7259-4f1f-940c-ede7c035e698,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:12:15.785527-05:00,2024-07-29T16:57:20.633835-05:00,dd3a6357-9087-44b2-9956-f981e0de6f1c
0be0d83b-9baa-4898-967c-81c466e8fb78,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T17:56:46.472502-06:00,2024-07-30T09:04:36.806369-05:00,dd3a6357-9087-44b2-9956-f981e0de6f1c
e5669293-5dea-47e3-b742-4a1fbbe5c9eb,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:17:19.204415-05:00,2024-07-29T17:12:16.855884-05:00,01ee41ef-1894-4408-9e96-a22a1f068190
905e8f71-2689-4ce1-98e2-4cce62d2b095,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:08:51.642473-06:00,2024-07-30T09:12:17.764746-05:00,01ee41ef-1894-4408-9e96-a22a1f068190
65b5577d-5de3-45b2-8e3a-39a0b4ae01f1,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:12:06.902831-06:00,2024-07-30T09:12:31.424268-05:00,dfdaebd6-e0ab-49d1-9ae9-3a57b3c318b5
e35e4689-ef74-4624-9f19-b8e825385643,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:17:19.204415-05:00,2024-07-29T17:12:03.231936-05:00,dfdaebd6-e0ab-49d1-9ae9-3a57b3c318b5
a8c61671-89cb-43bc-8c88-5c107954d11c,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:00:03.329986-06:00,2024-07-30T09:11:24.604152-05:00,036b9681-ab58-4734-a8fd-e0d5d078bf5a
d3780e9f-5286-4778-a970-0f1e631f34f3,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:20:51.233296-05:00,2024-07-29T17:10:50.741624-05:00,036b9681-ab58-4734-a8fd-e0d5d078bf5a
6d07e02c-2847-40f0-a07e-e893e8c49d58,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:12:15.785527-05:00,2024-07-29T17:02:27.381212-05:00,045fe498-6a07-41ff-9956-dc0fb0483e7f
a918f42d-99a5-4735-9542-7088d1a60743,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:13:14.002774-06:00,2024-07-30T09:06:40.324670-05:00,045fe498-6a07-41ff-9956-dc0fb0483e7f
eb68c900-9b55-42ad-b203-725b1a786db5,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:20:51.233296-05:00,2024-07-29T17:12:45.957392-05:00,e5086eab-c920-4e3e-a965-90f3f495363a
400d229e-aa12-4276-ba02-682e26bd3ebc,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:00:28.795864-06:00,2024-07-30T09:07:12.714581-05:00,e5086eab-c920-4e3e-a965-90f3f495363a
748f006b-11dc-4a2f-b857-705e19b511a0,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:00:22.523763-06:00,2024-07-30T09:10:12.428154-05:00,069b6e47-012c-483e-bee4-36a2a21a3486
72fbb42e-480f-41e8-93cf-f6ac1dc051de,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:12:15.785527-05:00,2024-07-29T17:02:49.521987-05:00,069b6e47-012c-483e-bee4-36a2a21a3486
eeceb1df-797f-4d31-bc72-171865d8f4f7,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:24:57.745092-05:00,2024-07-29T17:12:54.479914-05:00,087a7f70-2fa8-4a16-b130-4df10a70c662
3c68c701-fac4-428c-b6a9-c17a56f56e33,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:15:15.816611-06:00,2024-07-30T09:09:13.712770-05:00,087a7f70-2fa8-4a16-b130-4df10a70c662
5346db5a-6468-45c0-bf01-e0cd60b31365,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T17:58:44.224768-06:00,2024-07-30T09:06:23.012942-05:00,ebad8bc9-f196-4f53-bfea-de38488eb4e1
00d2b00b-abf0-496f-98d8-36aef53f3aad,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:12:15.785527-05:00,2024-07-29T16:54:17.018949-05:00,ebad8bc9-f196-4f53-bfea-de38488eb4e1
5cd79afa-f5de-4f1a-aa52-d9c7a63c67c8,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:09:34.842505-06:00,2024-07-30T09:00:50.924163-05:00,0f956645-35aa-4a68-98d3-ea589459be00
d253c413-bba0-4a40-a1c5-387c3d69d033,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:12:15.785527-05:00,2024-07-29T17:10:47.075785-05:00,0f956645-35aa-4a68-98d3-ea589459be00
0c884015-1384-42a9-b74e-79e525d562da,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:01:10.743953-06:00,2024-07-30T09:10:37.419245-05:00,f001cc02-8119-4726-b41c-14ac1e6a4216
