miRNA_region_id,8ca0e4c1-92ab-4653-87e0-cdcc630d8db6,acad335c-080a-442e-84d8-235fa3116bc6,3b8748ee-d541-4219-ba20-437311ae376a,af1bb8e0-9d0f-4e54-9ca4-9b311129a412,600fc778-f0e3-4362-ad0c-cdb64fc76e7b,cd746011-8fd7-473d-84e7-f39ec60b6717,7c3c4540-a63e-4737-a23d-a9c999c53f39,12c76136-cc83-42c0-886b-4b4ea167a0d7,308d2039-4905-49de-861a-c70f97669068,ea6c109d-9823-4fa7-987d-78f2ed377312,485f30ed-85f1-4402-ad3e-8e1ff3a75a36,5e01bf11-33c4-4d86-a97e-54ef83a86a04,15a6e18f-00b4-4369-8588-294605e0e952,80a3007d-3d24-48c8-bdb4-38605dcd408f,f52a43ab-8cf4-4611-a13a-195778748214,3e75bf39-6c1e-460b-956e-3e999daa919c,1f7bbed4-631f-4f97-84a7-9f9bd9eba94c,afd9ffe6-e019-4ea3-ab5f-41a57f9db4de,3f5ad0e5-ab95-4c1e-8dfe-09cab1d1500c,5074a94f-c14e-441f-b006-cd8895a550e5,c786cbe6-bedd-4ff1-9c19-8026aaabc738,1c73346e-7c14-4b9e-b43d-4478181e0a4a,29cea98e-c370-473d-af6d-393e87c1bd31,27c8aced-b610-4c85-b7ed-3b111b55ef79,03589e93-5465-4e5b-91aa-be97a386e097,c42db931-0c5e-42bc-9590-2edbe16d7e56,3ef8d2e0-14fe-438a-bbcd-d0382a4085de,cea36b7b-8225-4b98-8371-66ee50eb0641,7734be37-d611-4651-83e4-7a9e78daf8a2,8790fe0b-8d3a-4f2c-8201-1231da243697,3a587350-9c2f-43ea-a607-1eec5356f34b,485f5497-8ed6-4c98-a733-710988850a13,9b71b456-248a-4ec9-8fd3-bc0c1ea2d852,4be7af1f-00a3-400a-9584-04756550a692,268512d6-01f2-4afa-bfbc-55698afe6a1f,bf370830-8f1c-4ca5-a838-aba83f5a964f,4ebd02b1-6eb1-4923-ad2f-5f4f107e6622,42a6d971-d671-4860-835f-15d184d416b0,3f0c486c-70c8-4537-a4cc-1ea2e302706d,64efe402-841b-49bc-a370-02a24880dd19,ef076f15-36a4-4e8a-a624-8cdeb9c4fa2d,38a63af6-4f43-4eea-aff2-a42b4118482a,f041b9ca-ace6-4425-a928-1ffbf2737243,f3533714-4d93-4e83-9f58-3c9dda0effba,8e5ae73e-8a65-4060-874e-9c0ab8311fcb,8c9b3702-7326-45fc-8457-168dd4921afb,85fb34fe-c751-4806-87a9-419e9ed39dfc,c5b7ba42-889d-4b7a-a810-298ae179e9c2,6c67482e-8a8a-4a5c-b8be-d573afb35d54,803da4bd-a731-423b-b689-9c876dec117f,5ec7ec6c-20c8-48af-964c-54125c9313c2,d4a3af62-0505-49f6-9f34-168bec5cb0d0,86723871-7176-4e6c-b9b2-dcf4acf99075,84d88e83-f246-45c8-a27c-5f146cb5a4b4,7e17b2bf-91b2-4ea2-acc1-59e1537913ce,82bf32b4-0410-4426-9591-33210d995b98,non_zero_samples,%_non_zero_samples
MIMAT0004757,14.235396999999999,17.412387,48.500196,5.6481580000000005,37.613703,11.957139999999999,6.1564119999999996,13.931908,12.219738,8.026518,12.435880000000001,9.252808,7.639962000000001,11.217364,13.517489999999999,24.318869,10.54761,7.0445150000000005,22.248809,9.954661999999999,5.258042,10.167278999999999,22.768359999999998,5.695805,12.078873,31.967733,18.600663,5.493464,41.270525,7.905942,44.890639,21.562459,18.605812999999998,6.646822,8.17432,14.233908,68.855816,16.394752,18.447047,7.585652,8.301425,7.415004,3.05334,21.316839,9.380692999999999,8.929829999999999,9.450065,15.948334000000001,49.48868,27.887446999999998,11.815175,37.653008,31.920180000000002,11.056065,40.667319000000006,30.245198000000002,56,100.0
MIMAT0004761,11.020952999999999,3.264822,7.657926000000001,2.8240790000000002,7.522741,10.163567,1.119348,3.843286,4.443541,4.249334,3.730764,1.542135,5.903606,2.876246,8.909256000000001,6.547388,1.406348,15.145703000000001,5.8549500000000005,5.530368,7.887063,6.007937,3.415254,3.6246039999999997,8.196378,8.207931,2.400085,1.373366,5.275180000000001,4.694152,14.542038,25.624951,3.283379,6.277553,0.860455,14.233912,14.887744,6.95535,4.099344,2.709162,4.496605000000001,8.426139,9.66891,1.332303,2.638319,6.8690999999999995,12.096082000000001,9.014275,4.750912,1.716151,1.890428,16.339985,8.677331,5.718654,2.8241199999999997,11.089905,56,100.0
MIMAT0004762,5.05127,,,4.236118,11.284111,,,,7.776198,6.610074,,0.771068,0.347271,,0.307216,0.31178,0.703174,1.408904,1.17099,,,0.462149,,,,,1.8000630000000002,,0.310305,0.741182,2.52905,2.8124949999999997,,0.369268,0.430227,5.53541,0.930484,0.496811,0.256209,,1.383572,6.740912,10.686689999999999,1.332303,2.931466,0.22897,,,,,1.417821,,1.239619,1.9062200000000002,0.282412,2.26839,35,62.5
MIMAT0004763,0.459206,0.544137,0.850881,,,,,0.480411,,,,0.771067,0.694542,0.287625,0.614432,0.62356,,,,1.106074,0.292113,,,0.2589,,,2.400085,,0.9309149999999999,0.247061,,0.624999,0.36482,,,,1.395726,0.496811,,,0.691786,,,0.444101,0.586294,0.22897,0.378003,,0.791819,,,2.841736,3.408952,,0.847236,,28,50.0
MIMAT0004765,3.214444,0.544137,,1.412039,1.074677,0.597857,0.559674,,2.22177,1.416444,1.492306,0.385534,0.694542,,0.614431,0.31178,,1.056677,,1.106074,1.752681,1.386447,1.138418,2.071202,0.431388,,,0.686683,0.930914,2.964728,2.212919,3.437494,2.918559,0.738536,1.7209090000000002,0.395386,0.930484,,0.7686270000000001,1.083665,1.383571,2.35932,0.50889,0.444101,0.293147,0.91588,0.378003,0.693406,1.583638,0.429038,1.890428,0.355217,2.169333,1.143731,0.847236,0.75613,48,85.71428571428571
MIMAT0004766,79.442705,131.13705,594.765552,110.139081,76.30208100000002,141.09423399999997,48.131949,48.521466,51.656164000000004,21.246668,97.99471600000001,134.93679400000002,95.846779,107.284009,112.440946,134.065557,103.718174,21.485766,201.800593,84.061592,193.963354,198.261948,143.440664,85.695993,58.668814,171.070582,56.40201599999999,147.636849,179.356111,40.023829,91.994197,119.06227500000001,106.52739399999999,114.842276,61.95275,126.128282,220.524709,50.177884,121.95546900000001,162.549733,133.168688,8.089093,28.497842,291.77423200000004,97.617831,90.672128,113.400758,321.740283,315.539842,249.27085,240.556958,129.65422999999998,173.856507,12.962283,156.456207,136.607477,56,100.0
MIMAT0004767,27.093176,4.353097,11.91233,16.944474,34.389671,8.967853999999999,8.954782,3.362874,66.097671,39.188300999999996,8.705116,5.783005,8.681774,3.1638729999999997,3.379373,8.41807,3.164283,72.910713,4.683960000000001,6.636441,4.089587,4.1593409999999995,6.830508,4.919106,6.039436,3.455972,6.000214,8.240196000000001,0.930914,5.682396,19.916269,24.999954000000002,13.863154,2.954142,3.8720470000000002,20.16471,7.909114000000001,21.859673,1.2810450000000002,2.709162,7.955532,31.682282999999998,43.764544,3.552807,2.052027,4.80837,6.426045,18.721956,6.73046,4.719415,12.287782,1.420868,7.127808,15.630987000000001,3.953767,11.341949,56,100.0
MIMAT0004768,0.918412,1.088274,2.552642,,1.074677,,0.559674,0.960821,,,,1.542135,,,0.307216,0.31178,0.351587,0.352226,1.95165,,,0.462149,,0.5178,0.431388,2.591978,0.600021,2.746732,0.310305,0.247061,0.316131,0.624998,,,,,,2.484054,0.512418,,,,0.50889,1.776404,,0.68691,1.890013,,,,0.472607,1.7760850000000001,0.929714,0.381244,1.129648,1.008173,34,60.71428571428571
MIMAT0004770,0.918412,,0.850881,,,1.793571,0.559674,0.480411,,0.472148,0.248718,2.6987360000000002,0.347271,0.8628750000000001,0.614432,0.31178,0.351587,0.704452,,,0.584226,0.924298,1.138418,0.5178,0.431388,0.431996,0.600021,1.373366,0.620609,0.494122,3.1613119999999997,0.624998,2.18892,,0.430227,,0.465242,0.496811,0.512418,1.083664,,0.337046,,,0.586294,0.68691,4.5360320000000005,1.386812,0.395909,0.429038,0.945214,,1.239619,0.381244,0.282412,0.252043,44,78.57142857142857
MIMAT0004773,3.214445,0.544137,0.850881,2.8240790000000002,7.522741,2.9892849999999997,1.119348,,7.220754,1.888592,0.994871,1.156601,2.7781680000000004,1.150499,0.921648,1.870682,2.461109,2.113355,1.17099,3.3182210000000003,,1.848596,1.138418,1.553402,0.431388,1.727985,0.600021,2.0600490000000002,2.172133,1.235303,5.690363,2.187496,3.648198,1.8463399999999999,1.290682,2.372318,1.395726,1.9872429999999999,2.049672,2.167329,1.383571,3.370456,5.0889,3.1087059999999997,0.87944,1.83176,4.158029,0.693406,1.187728,1.716151,4.253463,0.710434,4.338666,0.381244,1.694472,2.268389,54,96.42857142857143
