source,target,mirtarbase,correlation,qvalue
hsa-miR-192-5p,ACVR2A,MIRT026448,-0.3648897536229374,7.719563953146862e-06
hsa-miR-192-5p,PRKG1,,-0.3493202122686427,2.2347833409864244e-05
hsa-miR-196a-5p,NEDD4L,,-0.3131903925065359,0.0001903619264268
hsa-miR-148a-3p,NHS,,-0.3399555465138424,4.184222631225085e-05
hsa-miR-30c-5p,NRG2,,-0.331315628935478,6.831996816761895e-05
hsa-miR-30d-5p,LRMDA,,-0.3148651434378238,0.0001708242767674
hsa-miR-210-3p,HIF3A,MIRT054794,-0.4093364527366288,3.212094118787085e-07
hsa-miR-200b-3p,ETS1,MIRT003783,-0.3394177329154907,4.2965791347702366e-05
hsa-miR-200b-3p,ATP11C,,-0.3323114514258012,6.519446540435378e-05
hsa-miR-200b-3p,SGCE,,-0.3187233578623047,0.0001395635054062
hsa-miR-200b-3p,CCDC82,,-0.3879518932770053,1.8140151416282264e-06
hsa-miR-200b-3p,CELF2,,-0.3635782242845022,8.43023065943235e-06
hsa-miR-200b-3p,SLC24A4,,-0.3003048611419361,0.0003998514103958
hsa-miR-200b-3p,RUNX1T1,,-0.337149700780248,4.795513737002421e-05
hsa-miR-200b-3p,WIPF1,,-0.3784205810551102,2.9841951403197104e-06
hsa-miR-200b-3p,FLI1,,-0.3815002943366172,2.5761114505482883e-06
hsa-miR-200b-3p,GRAP2,,-0.3126612358675138,0.0001965672724702
hsa-miR-200b-3p,QKI,MIRT218291,-0.3684932129438855,6.2888073309867256e-06
hsa-miR-200b-3p,FAM126A,,-0.334594814966925,5.870892486791591e-05
hsa-miR-200b-3p,ZMAT3,MIRT209178,-0.3191312308464774,0.0001365868908125
hsa-miR-200b-3p,ZEB1,MIRT002483,-0.3242777931679277,0.0001020047812403
hsa-miR-15b-5p,HOXA3,MIRT475538,-0.3067416648316155,0.0002886426971509
hsa-miR-15b-5p,PIK3IP1,,-0.3232422044081236,0.0001087398522177
hsa-miR-141-3p,MEIS2,,-0.4243760496563187,1.2569041180251098e-07
hsa-miR-141-3p,PPP2R2B,,-0.3541923952300083,1.602464313222179e-05
hsa-miR-141-3p,WIPF1,,-0.4152472860432501,1.793973371728441e-07
hsa-miR-141-3p,WWTR1,,-0.3923020153401318,1.381280481352689e-06
hsa-miR-141-3p,CDK6,,-0.3071186176567342,0.0002827075639402
hsa-miR-141-3p,B3GALT1,,-0.3137019375607955,0.0001841508594526
hsa-miR-141-3p,SOX17,,-0.4165923610990876,1.793973371728441e-07
hsa-miR-141-3p,MOB3B,,-0.4037439194989281,5.149307788514962e-07
hsa-miR-141-3p,PHYHIPL,,-0.4517339344456269,1.3385990852896971e-08
hsa-miR-141-3p,ARL4A,,-0.3452492771438959,2.9578551697437623e-05
hsa-miR-141-3p,QKI,MIRT099339,-0.3017805201101165,0.0003748219297101
hsa-miR-141-3p,TRHDE,,-0.3046729123197916,0.0003222365667689
hsa-miR-141-3p,DUSP7,,-0.344591348234846,2.981618479158546e-05
hsa-miR-141-3p,SCN7A,,-0.3408645272434509,3.9038153218854855e-05
hsa-miR-141-3p,NRP1,,-0.359310343335007,1.119276335523892e-05
hsa-miR-141-3p,IGF2,,-0.3391720916945132,4.302117329479346e-05
hsa-miR-9-5p,ENTPD5,,-0.326814282251502,8.875858807688128e-05
hsa-miR-149-5p,EIF3L,,-0.3226427099745484,0.0001108622499284
hsa-miR-193a-3p,FLI1,,-0.3060581401388575,0.0002973737410181
hsa-miR-200c-3p,FAM126A,,-0.3445189394031746,2.981618479158546e-05
hsa-miR-200c-3p,CELF2,,-0.3463368076596776,2.748177167118951e-05
hsa-miR-200c-3p,KCNJ15,,-0.3060073632869729,0.0002973737410181
hsa-miR-200c-3p,CRTAP,,-0.3657132468791662,7.271519418663715e-06
hsa-miR-200c-3p,DZIP1,,-0.3136697716294128,0.0001841508594526
hsa-miR-200c-3p,BCL11B,,-0.3165044703738597,0.0001587754070197
hsa-miR-200c-3p,LOX,,-0.3004646622920165,0.0003990725179619
hsa-miR-200c-3p,MAF,,-0.3546583098152605,1.5732752072490657e-05
hsa-miR-200c-3p,FSTL1,,-0.3215324549405267,0.0001184698316625
hsa-miR-106b-5p,PLXDC2,,-0.3045388437765119,0.0003222365667689
hsa-miR-106b-5p,PXYLP1,,-0.3242940249666707,0.0001020047812403
hsa-miR-106b-5p,TBCEL,,-0.3057616392818186,0.0003017443866897
hsa-miR-106b-5p,PLSCR4,,-0.3278747597693785,8.271385620656903e-05
hsa-miR-106b-5p,F3,MIRT477194,-0.3184787125370085,0.0001415479139204
hsa-miR-106b-5p,RASGRF2,,-0.3165845472693217,0.000158624655452
hsa-miR-106b-5p,CYP2U1,,-0.3004332808144467,0.0003990725179619
hsa-miR-29c-3p,GPX7,,-0.3117425160586595,0.0002093492665448
hsa-miR-29c-3p,FKBP14,,-0.3778201067132982,3.042355526614286e-06
hsa-miR-29c-3p,CALU,,-0.3070677580206728,0.0002827075639402
