miRNA_region_id,ff79f645-81f1-4a3b-ae72-adc169f30143,aafbf8fb-290d-408e-b104-241b7d492895,91b36078-362b-4909-ac90-1b2d1ea4a545,646eb67c-2e86-4f89-867f-78c31eff5fe0,a44df6fa-36a7-4500-90fd-d62baf48ef52,d0982681-8799-412d-a868-81078e4a6560,eaf6af76-2b28-4128-9371-a3d928d72370,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,3d4b6861-2763-451d-ae0a-6a5adfc591ec,3be37b85-90eb-4f47-909a-8be730172d92,e351b00e-5462-4be5-a57c-162a9b7b996e,86b5eaae-717c-4806-be60-7ffcab935908,f4987886-cc3e-4423-84ae-84911abcd473,86e3408b-76a3-4834-b85e-4d2a07677304,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,8f6d8863-21b1-4469-b233-21bb7c9b954c,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,265fa10b-9393-4c95-99a0-df47069deaac,415d3af2-fc41-43d5-b185-6a09946b9e84,54fb48bb-ab47-4870-beb0-5713d15d8b58,41cd380c-ab97-451e-80b7-3d9653a1e909,02fc7dd7-7e17-4930-8424-52173c33b29b,585f73db-7dc1-49d8-a601-f8d33b318a95,0895e2a3-5571-4ee2-b715-a424d0c9fec4,8334ded1-3815-4766-8861-6fa8313fab6b,0f7a5400-3b1d-42d3-b47a-2979084bf616,81ec1c9c-36c0-48e8-929a-8273d1d3febe,d68e848a-5464-4471-88bd-3faf7e088d91,52fed7ff-b663-4fc1-a294-57776659175a,7e975ee3-173d-4315-aacf-c201122d9868,6dc4e6bf-a8f6-4280-af19-5ed501969f01,a4fc56a4-2493-451a-9b30-5aa38258bcce,85236a1e-2adb-459b-b868-b9486d9a285e,e896f815-d8df-42cc-bdf6-04deb50f6c1a,f424bcaa-7212-4abc-8110-cff56b85c85a,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,e83d4619-5e2b-4da7-8c05-93611ea76c85,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,d7438c8a-6e39-4139-92e7-2aa05bae5d40,be8e6554-07ae-4ec2-8be0-8598556467c9,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,8ecef704-ed0f-4700-a34e-46a174033332,aef6b437-1da5-4f69-970b-977cdc9cd5c5,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,ddde9a13-c70c-464c-8066-65a88ab92dc7,0f40e7fd-789f-49f7-a797-76bbe3c84f47,a576843f-a9f7-47cf-a52f-7f01066fa160,37fb952c-2a89-4903-98b9-6f6d36743218,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,ed76d786-d744-4067-b288-5fe2dc06a310,557f6cb1-95e3-4c8c-b253-538a415b0d07,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,3abbb570-87ad-44c5-b66d-141f63b0ca8b,f3a7612e-35c3-43be-8f96-795874f8225c,non_zero_samples,%_non_zero_samples
MIMAT0004792,1.0,1.0,,1.0,1.0,,,,2.0,,,2.0,1.0,,,,8.0,,,14.0,,,1.0,3.0,,15.0,1.0,,,1.0,3.0,5.0,4.0,4.0,10.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,3.0,1.0,1.0,2.0,,,3.0,1.0,1.0,,36,64.28571428571429
MIMAT0004797,195.0,120.0,1360.0,141.0,460.0,243.0,508.0,86.0,254.0,809.0,4171.0,216.0,267.0,711.0,66.0,128.0,392.0,1514.0,231.0,1464.0,194.0,217.0,276.0,326.0,78.0,560.0,304.0,527.0,548.0,100.0,76.0,112.0,125.0,650.0,300.0,659.0,180.0,280.0,84.0,490.0,514.0,128.0,94.0,159.0,147.0,466.0,1707.0,322.0,171.0,318.0,1707.0,90.0,88.0,262.0,155.0,278.0,56,100.0
MIMAT0004799,888.0,63.0,66.0,111.0,88.0,99.0,142.0,59.0,102.0,237.0,410.0,223.0,119.0,152.0,25.0,110.0,131.0,381.0,125.0,211.0,176.0,249.0,87.0,161.0,157.0,179.0,161.0,126.0,323.0,180.0,46.0,135.0,43.0,234.0,112.0,350.0,132.0,396.0,169.0,153.0,63.0,163.0,181.0,57.0,89.0,95.0,691.0,109.0,194.0,194.0,176.0,98.0,171.0,111.0,207.0,23.0,56,100.0
MIMAT0004800,5.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,7.0,3.0,4.0,2.0,1.0,8.0,3.0,12.0,14.0,4.0,5.0,8.0,1.0,3.0,12.0,3.0,4.0,5.0,6.0,1.0,7.0,9.0,1.0,1.0,4.0,8.0,2.0,16.0,5.0,6.0,3.0,27.0,9.0,5.0,4.0,2.0,2.0,1.0,5.0,1.0,11.0,8.0,4.0,1.0,5.0,8.0,7.0,,55,98.21428571428571
MIMAT0004801,16.0,25.0,15.0,12.0,9.0,9.0,12.0,11.0,11.0,45.0,14.0,26.0,7.0,44.0,8.0,19.0,18.0,23.0,7.0,26.0,6.0,7.0,17.0,17.0,6.0,28.0,12.0,9.0,12.0,13.0,2.0,10.0,13.0,14.0,15.0,78.0,14.0,36.0,6.0,42.0,12.0,2.0,11.0,3.0,11.0,11.0,22.0,10.0,18.0,16.0,14.0,2.0,10.0,21.0,9.0,4.0,56,100.0
MIMAT0004803,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3,5.357142857142857
MIMAT0004804,1.0,,,,2.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,,2.0,1.0,2.0,3.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,2.0,2.0,,,,1.0,6.0,,,,4.0,,,,,,2.0,,25,44.642857142857146
MIMAT0004805,1.0,1.0,1.0,4.0,3.0,5.0,1.0,3.0,1.0,12.0,11.0,1.0,2.0,5.0,5.0,3.0,1.0,8.0,2.0,5.0,,4.0,6.0,4.0,1.0,5.0,5.0,4.0,5.0,7.0,,6.0,1.0,3.0,1.0,7.0,2.0,8.0,3.0,2.0,11.0,,8.0,1.0,,3.0,14.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,3.0,,51,91.07142857142857
MIMAT0004808,405.0,231.0,392.0,286.0,508.0,967.0,113.0,371.0,322.0,787.0,1242.0,510.0,255.0,1476.0,150.0,256.0,1118.0,1330.0,411.0,488.0,166.0,196.0,902.0,2264.0,417.0,619.0,823.0,469.0,488.0,545.0,855.0,1059.0,96.0,1248.0,263.0,1414.0,772.0,1495.0,640.0,698.0,305.0,4869.0,153.0,420.0,122.0,419.0,2733.0,608.0,838.0,989.0,1668.0,413.0,519.0,3048.0,2198.0,236.0,56,100.0
MIMAT0004809,94.0,151.0,64.0,117.0,72.0,140.0,54.0,61.0,142.0,127.0,181.0,199.0,13.0,227.0,50.0,42.0,106.0,163.0,79.0,346.0,58.0,112.0,272.0,165.0,63.0,198.0,67.0,30.0,265.0,110.0,88.0,154.0,68.0,193.0,81.0,43.0,61.0,187.0,39.0,90.0,91.0,22.0,72.0,21.0,105.0,64.0,93.0,273.0,114.0,239.0,34.0,40.0,86.0,74.0,78.0,51.0,56,100.0
