source,target,mirtarbase,correlation,qvalue
hsa-miR-200b-3p,CELF2,,-0.7300068352699931,7.570160045187625e-08
hsa-miR-200c-3p,JCAD,,-0.7291182501708818,7.997634909477831e-08
hsa-miR-145-5p,ABRACL,MIRT021534,-0.7274777853725223,8.85672458290097e-08
hsa-miR-200a-3p,ZEB2,MIRT001035,-0.727341079972659,8.85672458290097e-08
hsa-miR-22-3p,PADI2,,-0.7272043745727957,8.85672458290097e-08
hsa-miR-224-5p,GPN1,,-0.7244702665755297,1.0849910985513235e-07
hsa-miR-200b-3p,ZEB1,MIRT002483,-0.7243335611756665,1.0849910985513235e-07
hsa-miR-200c-3p,NEGR1,,-0.7233082706766918,1.1599566046701369e-07
hsa-miR-200a-3p,ITSN1,,-0.7228298017771702,1.1850738426936153e-07
hsa-miR-141-3p,YWHAG,MIRT006730,-0.7223513328776486,1.2110358081303358e-07
hsa-miR-224-5p,SPPL3,,-0.7220095693779904,1.2234121667963654e-07
hsa-miR-378a-3p,UMPS,,-0.7218045112781956,1.2234121667963654e-07
hsa-miR-139-5p,NOL7,,-0.7214627477785373,1.2371151477281473e-07
hsa-miR-200b-3p,NEGR1,,-0.7207108680792892,1.294262676178348e-07
hsa-miR-224-5p,TMEM108,,-0.719753930280246,1.3559793028865962e-07
hsa-miR-200a-3p,GNAI1,,-0.7196172248803828,1.3559793028865962e-07
hsa-miR-22-3p,NHP2,,-0.719548872180451,1.3559793028865962e-07
hsa-miR-22-3p,WARS2,,-0.7171565276828434,1.621974551975363e-07
hsa-miR-224-5p,TMEM201,,-0.7169514695830485,1.6237702433482657e-07
hsa-miR-22-3p,SCYL3,,-0.7159945317840055,1.727730216220609e-07
hsa-miR-200c-3p,NOVA2,,-0.7156527682843472,1.7494662546718581e-07
hsa-miR-22-3p,ETV1,,-0.7153793574846207,1.762087181390312e-07
hsa-miR-486-5p,CAPRIN1,,-0.7148325358851675,1.808338488586189e-07
hsa-miR-486-5p,ZNF207,,-0.7146958304853042,1.808338488586189e-07
hsa-miR-378a-3p,XPO5,,-0.7130553656869446,2.0326315653557705e-07
hsa-miR-200c-3p,CELF2,,-0.7114149008885852,2.2831352939893587e-07
hsa-miR-452-5p,HMGB3,,-0.7111414900888585,2.30106023940592e-07
hsa-miR-185-5p,NCOA2,,-0.7105263157894737,2.3828677078417935e-07
hsa-miR-224-5p,GABRP,,-0.7097060833902941,2.507805461133571e-07
hsa-miR-224-5p,PSPC1,,-0.7089542036910458,2.625097748282555e-07
hsa-miR-185-5p,MDM4,,-0.7080656185919344,2.777309674638977e-07
hsa-miR-200c-3p,CFL2,MIRT054101,-0.7074504442925496,2.876288363437344e-07
hsa-miR-185-5p,CFAP44,,-0.7071086807928915,2.9163469916706965e-07
hsa-miR-200c-3p,ZEB1,MIRT002286,-0.7058099794941901,3.184759713559799e-07
hsa-miR-224-5p,F2RL1,,-0.704853041695147,3.386351213234855e-07
hsa-miR-365a-3p,PPP5C,,-0.703485987696514,3.6703396340901045e-07
hsa-miR-365b-3p,PPP5C,,-0.703485987696514,3.6703396340901045e-07
hsa-miR-139-5p,SMARCA4,MIRT731821,-0.7027341079972659,3.8411216018925306e-07
hsa-miR-22-3p,IL17RD,,-0.7010252904989748,4.294510879159327e-07
hsa-miR-224-5p,CHEK1,,-0.7009569377990431,4.294510879159327e-07
hsa-miR-224-5p,CCDC71,,-0.697881066302119,5.351120742466567e-07
hsa-miR-22-3p,ZNF652,,-0.6975393028024607,5.421290616837328e-07
hsa-miR-378a-3p,FAM83F,,-0.6974025974025975,5.421290616837328e-07
hsa-miR-22-3p,SRRD,,-0.6971291866028709,5.435049186894762e-07
hsa-miR-378a-3p,UCK2,,-0.6970608339029392,5.435049186894762e-07
hsa-miR-452-5p,TMEM229B,,-0.6969241285030758,5.435049186894762e-07
hsa-miR-22-3p,HNRNPUL2,,-0.6966507177033494,5.487205633886619e-07
hsa-miR-185-5p,LZIC,,-0.6956254272043746,5.858415911255072e-07
hsa-miR-22-3p,CCDC47,,-0.6946001367053999,6.253479761721679e-07
hsa-miR-185-5p,PPIP5K2,,-0.6943267259056733,6.314434305002451e-07
hsa-miR-20b-5p,LRATD2,,-0.69377990430622,6.472248073218294e-07
hsa-miR-429,ZFPM2,MIRT004625,-0.6937115516062885,6.472248073218294e-07
hsa-miR-200b-3p,SLC4A4,,-0.6933697881066303,6.569856697094618e-07
hsa-miR-486-5p,TET3,,-0.6929596719070403,6.702906816499123e-07
hsa-miR-224-5p,PCYT1B,,-0.6924812030075188,6.873302062241442e-07
hsa-miR-22-3p,UNK,,-0.6902939166097061,7.904480526284958e-07
hsa-miR-20b-5p,MYCL,,-0.6902939166097061,7.904480526284958e-07
hsa-miR-185-5p,ZNF280C,,-0.6899521531100479,7.960553329498602e-07
hsa-miR-185-5p,HP1BP3,,-0.6897470950102529,7.960553329498602e-07
hsa-miR-365a-3p,SNX12,,-0.689542036910458,7.960553329498602e-07
hsa-miR-378a-3p,DENND2B,,-0.689542036910458,7.960553329498602e-07
hsa-miR-365b-3p,SNX12,,-0.689542036910458,7.960553329498602e-07
hsa-miR-452-5p,TMBIM6,,-0.6892686261107315,8.044986493281887e-07
hsa-miR-200c-3p,SLC4A4,,-0.6891319207108682,8.050966789787147e-07
hsa-miR-22-3p,CUL3,,-0.6872863978127136,9.111516024403984e-07
hsa-miR-185-5p,SPIN3,,-0.6870129870129872,9.20881834221148e-07
hsa-miR-378a-3p,TMCO1,,-0.6857826384142175,9.965916360457411e-07
hsa-miR-193b-3p,CLSTN1,MIRT016329,-0.6846206425153794,1.0729365147689018e-06
hsa-miR-22-3p,SMG7,,-0.6844839371155161,1.073969137601382e-06
hsa-miR-20b-5p,TRIM32,MIRT227331,-0.6837320574162681,1.1229241758111522e-06
hsa-miR-22-3p,EMILIN3,,-0.6832535885167464,1.1515929282532297e-06
hsa-miR-22-3p,NOP9,,-0.6828434723171566,1.1753324451450578e-06
hsa-miR-22-3p,RCC2,MIRT700249,-0.6822966507177034,1.2111787314806406e-06
hsa-miR-486-5p,DNAJC21,,-0.6815447710184552,1.2661793959427688e-06
hsa-miR-452-5p,PRMT7,,-0.6812713602187287,1.2799984251026374e-06
hsa-miR-486-5p,BTBD3,,-0.6807928913192072,1.3127156631966515e-06
hsa-miR-185-5p,CREBRF,,-0.6797676008202325,1.3985631141895345e-06
hsa-miR-200b-3p,YWHAG,,-0.6789473684210526,1.4686614371388147e-06
hsa-miR-139-5p,HMGCR,,-0.6779904306220097,1.5567396857573433e-06
hsa-miR-22-3p,MYCL,,-0.6776486671223514,1.5812811495242307e-06
hsa-miR-185-5p,LCOR,,-0.6773069036226932,1.6012387939264277e-06
hsa-miR-200b-3p,GPC6,,-0.6772385509227615,1.6012387939264277e-06
hsa-miR-22-3p,VEZF1,,-0.6760765550239234,1.7210051338637837e-06
hsa-miR-135b-5p,FOXN3,,-0.6756451987245914,1.7590265118531455e-06
hsa-miR-486-5p,ZNF740,,-0.6753930280246071,1.7690150410018215e-06
hsa-miR-224-5p,NAP1L1,,-0.6752563226247437,1.7690150410018215e-06
hsa-miR-486-5p,CTDSPL2,,-0.6751879699248121,1.7690150410018215e-06
hsa-miR-139-5p,GDI2,,-0.6751196172248803,1.7690150410018215e-06
hsa-miR-200a-3p,YWHAG,,-0.674436090225564,1.839797699082848e-06
hsa-miR-139-5p,MEX3A,,-0.6734107997265893,1.9529924443511293e-06
hsa-miR-429,CHRDL1,,-0.6733424470266576,1.9529924443511293e-06
hsa-miR-200c-3p,ZNF423,,-0.6725905673274095,2.0402412129763664e-06
hsa-miR-141-3p,ANO6,,-0.6723855092276145,2.0538690978161408e-06
hsa-miR-224-5p,TPD52,MIRT437894,-0.6718386876281613,2.115963971035119e-06
hsa-miR-139-5p,LARP4B,,-0.6716336295283664,2.1250039030306137e-06
hsa-miR-22-3p,STK26,,-0.6715652768284347,2.1250039030306137e-06
hsa-miR-224-5p,MARCHF9,,-0.67053998632946,2.260901514445981e-06
hsa-miR-141-3p,TMEM170B,,-0.6703349282296651,2.276328990356699e-06
hsa-miR-135b-5p,C2CD2,,-0.6701760480721611,2.284859572072948e-06
hsa-miR-486-5p,FAM83G,,-0.6688995215311005,2.4715692966731767e-06
hsa-miR-135b-5p,EBF1,,-0.6687745782174759,2.475310596193867e-06
hsa-miR-429,PLXNA4,,-0.6682843472317157,2.5402571169309806e-06
hsa-miR-378a-3p,GRSF1,,-0.6673274094326727,2.688937507534923e-06
hsa-miR-200b-3p,ZNF423,,-0.6656869446343131,2.9771763139551144e-06
hsa-miR-141-3p,GPC6,,-0.6641148325358852,3.2795204327695757e-06
hsa-miR-185-5p,PLEKHA1,,-0.6637730690362269,3.3113698084868075e-06
hsa-miR-139-5p,RUNX1,,-0.663568010936432,3.3113698084868075e-06
hsa-miR-486-5p,COPS7B,,-0.663568010936432,3.3113698084868075e-06
hsa-miR-193b-3p,SKP1,,-0.663568010936432,3.3113698084868075e-06
hsa-miR-141-3p,SOX5,,-0.6627477785372523,3.464524707634318e-06
hsa-miR-185-5p,LRCH3,,-0.6626794258373205,3.464524707634318e-06
hsa-miR-224-5p,SMARCD1,,-0.6624060150375941,3.5044861411870563e-06
hsa-miR-652-3p,SLC35C2,,-0.6622693096377308,3.513584375223754e-06
hsa-miR-22-3p,CSRNP3,,-0.6621326042378675,3.520028924539797e-06
hsa-miR-185-5p,MRRF,,-0.6619275461380725,3.520028924539797e-06
hsa-miR-185-5p,TTC5,,-0.6619275461380725,3.520028924539797e-06
hsa-miR-22-3p,GPR107,,-0.6618591934381407,3.520028924539797e-06
hsa-miR-22-3p,CCDC149,,-0.6616541353383459,3.5454916134789185e-06
hsa-miR-486-5p,MTA3,,-0.6613123718386876,3.60305256737129e-06
hsa-miR-22-3p,WDTC1,,-0.6611756664388243,3.6132390066920194e-06
hsa-let-7b-5p,FZD4,,-0.6602187286397813,3.821068177915979e-06
hsa-miR-486-5p,ARID4B,,-0.6600820232399179,3.832008533289304e-06
hsa-miR-20b-5p,USP3,MIRT072575,-0.6588516746411484,4.123551249610147e-06
hsa-miR-22-3p,NFYA,,-0.6584415584415585,4.208702099406261e-06
hsa-miR-200b-3p,SIK2,,-0.6580997949419002,4.276811831132224e-06
hsa-miR-224-5p,ZNF710,,-0.6578263841421736,4.314932255531893e-06
hsa-miR-200c-3p,ERG,,-0.6577580314422421,4.314932255531893e-06
hsa-miR-93-5p,TMEM50B,,-0.6576896787423104,4.314932255531893e-06
hsa-miR-139-5p,HNRNPF,MIRT475568,-0.6574162679425838,4.365964052133003e-06
hsa-miR-378a-3p,SARM1,,-0.6568694463431306,4.489576683045431e-06
hsa-miR-22-3p,TTC9,,-0.6568010936431988,4.489576683045431e-06
