id,label,type
mir133,hsa-miR-493-3p,microRNA
mir134,hsa-miR-92b-3p,microRNA
mir135,hsa-miR-551b-3p,microRNA
mir136,hsa-miR-582-5p,microRNA
mir137,hsa-miR-615-3p,microRNA
mir138,hsa-miR-33b-5p,microRNA
mir139,hsa-miR-652-3p,microRNA
mir140,hsa-miR-655-3p,microRNA
mir141,hsa-miR-421,microRNA
mir142,hsa-miR-542-3p,microRNA
mir143,hsa-miR-425-5p,microRNA
mir144,hsa-miR-758-3p,microRNA
mir145,hsa-miR-454-3p,microRNA
mir146,hsa-miR-22-5p,microRNA
mir147,hsa-miR-199b-3p,microRNA
mir148,hsa-miR-193a-5p,microRNA
mir149,hsa-miR-340-5p,microRNA
mir150,hsa-miR-330-5p,microRNA
mir151,hsa-miR-423-5p,microRNA
mir152,hsa-miR-501-3p,microRNA
mir153,hsa-miR-502-3p,microRNA
mir154,hsa-miR-532-3p,microRNA
mir155,hsa-miR-874-3p,microRNA
mir156,hsa-miR-708-5p,microRNA
mir157,hsa-miR-877-5p,microRNA
mir158,hsa-miR-374b-5p,microRNA
mir159,hsa-miR-760,microRNA
mir160,hsa-miR-320b,microRNA
mir161,hsa-miR-1271-5p,microRNA
mir162,hsa-miR-378c,microRNA
mir163,hsa-miR-374c-5p,microRNA
mir164,hsa-miR-1306-5p,microRNA
mir165,hsa-miR-365b-3p,microRNA
mir166,hsa-miR-370-5p,microRNA
gene1,GIPC1,messenger RNA
gene2,MMP11,messenger RNA
gene3,GJC1,messenger RNA
gene4,MEF2C,messenger RNA
gene5,SOX6,messenger RNA
gene6,FAM214B,messenger RNA
gene7,RDX,messenger RNA
gene8,HIF3A,messenger RNA
gene9,CADM2,messenger RNA
gene10,SLC9A9,messenger RNA
gene11,CERT1,messenger RNA
gene12,CRTAP,messenger RNA
gene13,ATPAF1,messenger RNA
gene14,PARM1,messenger RNA
gene15,PPP1R16B,messenger RNA
gene16,TOB2,messenger RNA
gene17,GHR,messenger RNA
gene18,ACER3,messenger RNA
gene19,ALPK3,messenger RNA
gene20,CFL2,messenger RNA
gene21,TMEM135,messenger RNA
gene22,ATP8B4,messenger RNA
gene23,PLXNA2,messenger RNA
gene24,ANKRD33B,messenger RNA
gene25,GRK3,messenger RNA
gene26,EPHA3,messenger RNA
gene27,BCAT1,messenger RNA
gene28,LYVE1,messenger RNA
gene29,ANGPTL2,messenger RNA
gene30,FZD4,messenger RNA
gene31,GNS,messenger RNA
gene32,ACVR1C,messenger RNA
gene33,IGF1,messenger RNA
gene34,TMEM233,messenger RNA
gene35,WNT9B,messenger RNA
gene36,PAX3,messenger RNA
gene37,KLHL31,messenger RNA
gene38,PLCXD3,messenger RNA
gene39,KATNAL1,messenger RNA
gene40,ITSN1,messenger RNA
gene41,CYP19A1,messenger RNA
gene42,DCUN1D3,messenger RNA
gene43,CCDC141,messenger RNA
gene44,DIPK2B,messenger RNA
gene45,NAT8L,messenger RNA
gene46,CPM,messenger RNA
gene47,VGLL3,messenger RNA
gene48,PCYOX1,messenger RNA
gene49,FIGN,messenger RNA
gene50,MGLL,messenger RNA
gene51,PDP2,messenger RNA
gene52,SCD,messenger RNA
gene53,HAS2,messenger RNA
gene54,DIAPH2,messenger RNA
gene55,BTG2,messenger RNA
gene56,ATP2B4,messenger RNA
gene57,COL4A1,messenger RNA
gene58,SNN,messenger RNA
gene59,GALNT15,messenger RNA
gene60,TSPAN18,messenger RNA
gene61,TMC7,messenger RNA
gene62,IGLON5,messenger RNA
gene63,SMIM3,messenger RNA
gene64,XKR4,messenger RNA
gene65,PXDN,messenger RNA
gene66,TRHDE,messenger RNA
gene67,SOCS1,messenger RNA
gene68,MTUS1,messenger RNA
gene69,PARP8,messenger RNA
gene70,SRGAP1,messenger RNA
gene71,LCOR,messenger RNA
gene72,ANKRD28,messenger RNA
gene73,CASP3,messenger RNA
gene74,CPEB1,messenger RNA
gene75,STAT3,messenger RNA
gene76,HOOK1,messenger RNA
gene77,AGAP1,messenger RNA
gene78,IKZF2,messenger RNA
gene79,CTPS1,messenger RNA
gene80,FAS,messenger RNA
gene81,ATP2A2,messenger RNA
gene82,PGM2L1,messenger RNA
gene83,RIMKLA,messenger RNA
gene84,PDZD8,messenger RNA
gene85,LRATD2,messenger RNA
gene86,CCDC71L,messenger RNA
gene87,PDE12,messenger RNA
gene88,USP12,messenger RNA
gene89,RNF7,messenger RNA
gene90,SLC16A9,messenger RNA
gene91,G3BP1,messenger RNA
gene92,NRK,messenger RNA
gene93,SOCS4,messenger RNA
gene94,LRRC8B,messenger RNA
gene95,AAK1,messenger RNA
gene96,ZNF24,messenger RNA
gene97,KCNJ11,messenger RNA
gene98,ADGRL3,messenger RNA
