id,label,type
EFNB3,EFNB3,Messenger RNA
RAB34,RAB34,Messenger RNA
SNX12,SNX12,Messenger RNA
LDLRAP1,LDLRAP1,Messenger RNA
PAIP2B,PAIP2B,Messenger RNA
ZFP3,ZFP3,Messenger RNA
ANO3,ANO3,Messenger RNA
ZZZ3,ZZZ3,Messenger RNA
RERE,RERE,Messenger RNA
MTARC1,MTARC1,Messenger RNA
CNR1,CNR1,Messenger RNA
AMMECR1,AMMECR1,Messenger RNA
LAMA4,LAMA4,Messenger RNA
PPP1R9A,PPP1R9A,Messenger RNA
FBXO41,FBXO41,Messenger RNA
SCN2B,SCN2B,Messenger RNA
NEDD4L,NEDD4L,Messenger RNA
ALPK3,ALPK3,Messenger RNA
AIDA,AIDA,Messenger RNA
IPPK,IPPK,Messenger RNA
CCSER1,CCSER1,Messenger RNA
FITM2,FITM2,Messenger RNA
PRKAA2,PRKAA2,Messenger RNA
ETS1,ETS1,Messenger RNA
SF1,SF1,Messenger RNA
DCUN1D4,DCUN1D4,Messenger RNA
XKR4,XKR4,Messenger RNA
SMAD5,SMAD5,Messenger RNA
PCGF3,PCGF3,Messenger RNA
NFATC2,NFATC2,Messenger RNA
RAB3C,RAB3C,Messenger RNA
TUSC2,TUSC2,Messenger RNA
STMP1,STMP1,Messenger RNA
EIF2B2,EIF2B2,Messenger RNA
TACC1,TACC1,Messenger RNA
AATK,AATK,Messenger RNA
ZNF75A,ZNF75A,Messenger RNA
RICTOR,RICTOR,Messenger RNA
KLF10,KLF10,Messenger RNA
PAX5,PAX5,Messenger RNA
ENTPD1,ENTPD1,Messenger RNA
FGF1,FGF1,Messenger RNA
SUMO2,SUMO2,Messenger RNA
RAPGEF5,RAPGEF5,Messenger RNA
FRRS1L,FRRS1L,Messenger RNA
CCDC28A,CCDC28A,Messenger RNA
TGOLN2,TGOLN2,Messenger RNA
ANGEL1,ANGEL1,Messenger RNA
TMEM86A,TMEM86A,Messenger RNA
GGCT,GGCT,Messenger RNA
DDX19B,DDX19B,Messenger RNA
MVB12B,MVB12B,Messenger RNA
THOC2,THOC2,Messenger RNA
KCNJ6,KCNJ6,Messenger RNA
SMARCA4,SMARCA4,Messenger RNA
SMARCD1,SMARCD1,Messenger RNA
SMARCC1,SMARCC1,Messenger RNA
VPS53,VPS53,Messenger RNA
SRPK1,SRPK1,Messenger RNA
USP9X,USP9X,Messenger RNA
