accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000318,hsa-miR-200b-3p,GRAP2,-0.3126612358675138,9.549285747541133e-07
MIMAT0000318,hsa-miR-200b-3p,ATP11C,-0.3323114514258012,1.8903782114285294e-07
MIMAT0000318,hsa-miR-200b-3p,QKI,-0.3684932129438855,7.026771046792231e-09
MIMAT0000318,hsa-miR-200b-3p,WIPF1,-0.3784205810551102,2.644504087325793e-09
MIMAT0000318,hsa-miR-200b-3p,FAM126A,-0.334594814966925,1.554391122107128e-07
MIMAT0000318,hsa-miR-200b-3p,SGCE,-0.3187233578623047,5.864725020108714e-07
MIMAT0000318,hsa-miR-200b-3p,ETS1,-0.3394177329154907,1.0227713940282332e-07
MIMAT0000318,hsa-miR-200b-3p,SLC24A4,-0.3003048611419361,2.496096880462019e-06
MIMAT0000318,hsa-miR-200b-3p,ZEB1,-0.3242777931679277,3.716562750139281e-07
MIMAT0000318,hsa-miR-200b-3p,CCDC82,-0.3879518932770053,1.002872244673587e-09
MIMAT0000318,hsa-miR-200b-3p,FLI1,-0.3815002943366172,1.939795840729601e-09
MIMAT0000318,hsa-miR-200b-3p,ST3GAL2,-0.3177677597520646,6.337707097487073e-07
MIMAT0000318,hsa-miR-200b-3p,ZMAT3,-0.3191312308464774,5.673287747804962e-07
MIMAT0000417,hsa-miR-15b-5p,PIK3IP1,-0.3232422044081236,4.049279910519221e-07
MIMAT0000417,hsa-miR-15b-5p,HOXA3,-0.3067416648316155,1.5214230435950131e-06
MIMAT0000424,hsa-miR-128-3p,CREBRF,-0.3341272486451858,1.6181524832868274e-07
MIMAT0000432,hsa-miR-141-3p,WWTR1,-0.3923020153401318,6.375719670429777e-10
MIMAT0000432,hsa-miR-141-3p,HGF,-0.3323309295842927,1.887237755393696e-07
MIMAT0000432,hsa-miR-141-3p,METTL24,-0.3652035777326285,9.644087825244434e-09
MIMAT0000432,hsa-miR-141-3p,NRP1,-0.359310343335007,1.685616186997044e-08
MIMAT0000432,hsa-miR-141-3p,CHRDL1,-0.3352678030368613,1.4668303798327893e-07
MIMAT0000432,hsa-miR-141-3p,IGDCC4,-0.3903293107328981,7.835952819452557e-10
MIMAT0000432,hsa-miR-141-3p,CDK6,-0.3071186176567342,1.4774047597231343e-06
