accession_id,mirna_name,gene_name,mirtarbase,correlation,pvalue,qvalue
MIMAT0000065,hsa-let-7d-5p,ICMT,,-0.10960483366900478,0.11669187462871546,0.44395968825335796
MIMAT0000065,hsa-let-7d-5p,RGS17,,-0.07171331342454336,0.2181783280816943,0.5951443861201099
MIMAT0000065,hsa-let-7d-5p,EEF2K,,-0.019543023821098682,0.4161071399664995,0.7882351651995039
MIMAT0000065,hsa-let-7d-5p,SLC30A4,,-0.1574692686992152,0.04292862751000299,0.2768371970487646
MIMAT0000065,hsa-let-7d-5p,HCFC2,,-0.1761094520452809,0.0271737859208771,0.22387260770661488
MIMAT0000065,hsa-let-7d-5p,SLC25A24,,-0.1307590804917008,0.07729261119691809,0.36788149926729713
MIMAT0000065,hsa-let-7d-5p,HOXC11,,0.1436166334099623,0.9411966320794084,0.9999999999999991
MIMAT0000065,hsa-let-7d-5p,ELF4,,0.03191888325578165,0.6353595498583053,0.9350510226680694
MIMAT0000065,hsa-let-7d-5p,GPC4,,0.019466629627057433,0.5835697082229041,0.9052707832935958
MIMAT0000065,hsa-let-7d-5p,POLR3D,MIRT123975,-0.25123272449475653,0.0028213775869446503,0.07764257612093871
MIMAT0000065,hsa-let-7d-5p,CCND2,,-0.12178623515521908,0.09257304354911654,0.39940278875265106
MIMAT0000065,hsa-let-7d-5p,EDN1,MIRT244068,-0.02325161469546496,0.40049087483250323,0.7754225098047935
MIMAT0000065,hsa-let-7d-5p,ELK4,,-0.11942496006667128,0.09693821948387854,0.40861865492470223
MIMAT0000065,hsa-let-7d-5p,EZH1,,-0.1113341204250295,0.11302315558593273,0.4368393972988359
MIMAT0000065,hsa-let-7d-5p,GLRX,,0.01865407319952774,0.5801291383167696,0.9034740493801054
MIMAT0000065,hsa-let-7d-5p,GNS,,-0.16057365094798248,0.03988930031170009,0.26820228720110745
MIMAT0000065,hsa-let-7d-5p,HMGA1,MIRT168582,0.18135981665393425,0.9762813054144551,0.9999999999999991
MIMAT0000065,hsa-let-7d-5p,HNRNPA1,,0.028654767692200843,0.6219763455120368,0.9284652876603592
MIMAT0000065,hsa-let-7d-5p,ITGB8,,0.1294325994860754,0.9205759970243608,0.9999999999999991
MIMAT0000065,hsa-let-7d-5p,KCNA6,,-0.12142977732266655,0.09322264733005235,0.40106949564205174
MIMAT0000065,hsa-let-7d-5p,KCNJ6,,-0.1443800366731706,0.057824133102150704,0.320974019046446
MIMAT0000065,hsa-let-7d-5p,KPNA4,,-0.12948121397319257,0.07934512183453077,0.3725121816405288
MIMAT0000065,hsa-let-7d-5p,NRAS,,-0.16961971251451446,0.03200668133022041,0.24038789164165497
MIMAT0000065,hsa-let-7d-5p,P2RX1,,-0.21760538926314324,0.008482144473539219,0.12923812206925836
MIMAT0000065,hsa-let-7d-5p,PAWR,,-0.2358149871518855,0.0047590729961071105,0.09825791182383833
