gene_id,gene_name,is_expressed
ENSG00000012061.16,ERCC1,1
ENSG00000012124.17,CD22,1
ENSG00000012171.20,SEMA3B,1
ENSG00000012174.12,MBTPS2,1
ENSG00000012211.13,PRICKLE3,1
ENSG00000012223.13,LTF,1
ENSG00000012232.9,EXTL3,1
ENSG00000012504.15,NR1H4,0
ENSG00000012660.14,ELOVL5,1
ENSG00000012779.11,ALOX5,1
ENSG00000012817.16,KDM5D,0
ENSG00000012822.16,CALCOCO1,1
ENSG00000012963.15,UBR7,1
ENSG00000012983.11,MAP4K5,1
ENSG00000013016.16,EHD3,1
ENSG00000013275.8,PSMC4,1
ENSG00000013288.9,MAN2B2,1
ENSG00000013293.6,SLC7A14,1
ENSG00000013297.12,CLDN11,1
ENSG00000013306.16,SLC25A39,1
ENSG00000013364.19,MVP,1
ENSG00000013374.16,NUB1,1
ENSG00000013375.16,PGM3,1
ENSG00000013392.8,RWDD2A,1
ENSG00000013441.16,CLK1,1
ENSG00000013503.10,POLR3B,1
ENSG00000013523.11,ANGEL1,1
ENSG00000013561.18,RNF14,1
ENSG00000013563.14,DNASE1L1,1
ENSG00000013573.17,DDX11,1
ENSG00000013583.10,HEBP1,1
ENSG00000013588.9,GPRC5A,1
ENSG00000013619.14,MAMLD1,1
ENSG00000013725.14,CD6,1
ENSG00000013810.20,TACC3,1
ENSG00000014123.10,UFL1,1
ENSG00000014138.9,POLA2,1
ENSG00000014164.7,ZC3H3,1
ENSG00000014216.16,CAPN1,1
ENSG00000014257.16,ACP3,1
ENSG00000014641.21,MDH1,1
ENSG00000014824.14,SLC30A9,1
ENSG00000014914.21,MTMR11,1
ENSG00000014919.13,COX15,1
ENSG00000015133.19,CCDC88C,1
ENSG00000015153.15,YAF2,1
ENSG00000015171.20,ZMYND11,1
ENSG00000015285.11,WAS,1
ENSG00000015413.9,DPEP1,1
ENSG00000015475.19,BID,1
ENSG00000015479.20,MATR3,1
ENSG00000015520.15,NPC1L1,1
ENSG00000015532.10,XYLT2,1
ENSG00000015568.13,RGPD5,0
ENSG00000015592.16,STMN4,1
ENSG00000015676.18,NUDCD3,1
ENSG00000016082.15,ISL1,1
ENSG00000016391.11,CHDH,1
ENSG00000016402.13,IL20RA,1
ENSG00000016490.16,CLCA1,0
ENSG00000016602.9,CLCA4,1
ENSG00000016864.18,GLT8D1,1
ENSG00000017260.20,ATP2C1,1
ENSG00000017427.17,IGF1,1
ENSG00000017483.15,SLC38A5,1
ENSG00000017797.13,RALBP1,1
ENSG00000018189.13,RUFY3,1
ENSG00000018236.15,CNTN1,1
ENSG00000018280.17,SLC11A1,1
ENSG00000018408.15,WWTR1,1
ENSG00000018510.17,AGPS,1
ENSG00000018610.15,CXorf56,1
ENSG00000018625.15,ATP1A2,1
ENSG00000018699.13,TTC27,1
ENSG00000018869.17,ZNF582,1
ENSG00000019102.12,VSIG2,1
ENSG00000019144.19,PHLDB1,1
ENSG00000019169.10,MARCO,1
