accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000065,hsa-let-7d-5p,RNF20,-0.3920027341079973,0.0014044951737643
MIMAT0000065,hsa-let-7d-5p,LSM11,-0.4695146958304853,0.0001308538692356
MIMAT0000065,hsa-let-7d-5p,CARNMT1,-0.350375939849624,0.0040564842027006
MIMAT0000065,hsa-let-7d-5p,AGAP1,-0.3513328776486671,0.0039647136962773
MIMAT0000065,hsa-let-7d-5p,PPP1R15B,-0.4218045112781954,0.0006021996140779
MIMAT0000065,hsa-let-7d-5p,ELK4,-0.4073137388926863,0.0009177934766614
MIMAT0000065,hsa-let-7d-5p,TAOK1,-0.3945317840054682,0.0013109674690692
MIMAT0000065,hsa-let-7d-5p,DVL3,-0.3321941216678059,0.0061864963359995
MIMAT0000065,hsa-let-7d-5p,ADCY9,-0.401367053998633,0.0010852700883949
MIMAT0000065,hsa-let-7d-5p,USP24,-0.3233766233766234,0.007527360556783
MIMAT0000065,hsa-let-7d-5p,REL,-0.3581681476418318,0.0033601730096536
MIMAT0000065,hsa-let-7d-5p,DHX57,-0.3287081339712919,0.0066897646105155
MIMAT0000065,hsa-let-7d-5p,LIPH,-0.3647983595352017,0.0028523255685743
MIMAT0000065,hsa-let-7d-5p,SENP2,-0.4524265208475735,0.000231950757301
MIMAT0000065,hsa-let-7d-5p,TASOR,-0.4306903622693097,0.0004607442894932
MIMAT0000065,hsa-let-7d-5p,DNAJB14,-0.3132604237867396,0.0093649923533178
MIMAT0000065,hsa-let-7d-5p,UTP15,-0.3503075871496924,0.0040631093724033
MIMAT0000065,hsa-let-7d-5p,SAP30L,-0.3955570745044429,0.0012746552706691
MIMAT0000065,hsa-let-7d-5p,BRWD3,-0.3183868762816131,0.0083910181607549
MIMAT0000065,hsa-let-7d-5p,HIF1AN,-0.5393028024606972,8.986563531435966e-06
MIMAT0000065,hsa-let-7d-5p,TPP1,-0.338961038961039,0.0053020018350493
MIMAT0000065,hsa-let-7d-5p,TMEM135,-0.499043062200957,4.520937600080539e-05
MIMAT0000065,hsa-let-7d-5p,ZNF641,-0.3453861927546138,0.0045655450869362
MIMAT0000065,hsa-let-7d-5p,TOR1AIP2,-0.3233082706766917,0.0075386565060567
MIMAT0000065,hsa-let-7d-5p,USP47,-0.4585099111414901,0.0001898346746943
MIMAT0000065,hsa-let-7d-5p,CRTAP,-0.340123034859877,0.0051616724323034
MIMAT0000065,hsa-let-7d-5p,SLC30A1,-0.3411483253588517,0.0050405314149009
MIMAT0000065,hsa-let-7d-5p,NME6,-0.3654818865345182,0.0028040098531263
MIMAT0000065,hsa-let-7d-5p,SMARCC1,-0.5462747778537254,6.649086229253654e-06
MIMAT0000065,hsa-let-7d-5p,FBXO45,-0.3360902255639098,0.0056629126754492
MIMAT0000065,hsa-let-7d-5p,CYB561D1,-0.3794941900205058,0.0019596799159328
MIMAT0000065,hsa-let-7d-5p,MGA,-0.390704032809296,0.0014547861378234
MIMAT0000065,hsa-let-7d-5p,ATP2A2,-0.3676691729323308,0.0026541871421545
MIMAT0000065,hsa-let-7d-5p,TMEM167A,-0.3483937115516063,0.0042524748919432
MIMAT0000065,hsa-let-7d-5p,DENND6A,-0.4072453861927546,0.0009195793041946
MIMAT0000065,hsa-let-7d-5p,PDE12,-0.4801093643198906,9.03620914173111e-05
MIMAT0000065,hsa-let-7d-5p,SMCR8,-0.3339712918660287,0.0059427158802434
MIMAT0000065,hsa-let-7d-5p,CHD9,-0.3345864661654135,0.0058602813116318
MIMAT0000065,hsa-let-7d-5p,ARID3B,-0.3661654135338346,0.0027564131403039
MIMAT0000065,hsa-let-7d-5p,SOCS4,-0.3252221462747778,0.0072277989690982
MIMAT0000065,hsa-let-7d-5p,ZNF322,-0.3334244702665755,0.0060168279275787
MIMAT0000065,hsa-let-7d-5p,PRR14L,-0.3158578263841422,0.0088601328298656
MIMAT0000065,hsa-let-7d-5p,PBX1,-0.4112781954887218,0.0008193658899039
MIMAT0000065,hsa-let-7d-5p,ANKFY1,-0.4464114832535885,0.0002817503974012
MIMAT0000065,hsa-let-7d-5p,NAT8L,-0.3165413533834587,0.0087311941716324
MIMAT0000065,hsa-let-7d-5p,KPNA4,-0.4924128503075871,5.788347152224953e-05
MIMAT0000065,hsa-let-7d-5p,PTAR1,-0.3279562542720438,0.006802806603718
MIMAT0000065,hsa-let-7d-5p,NHLRC3,-0.4283663704716337,0.000494511323371
MIMAT0000065,hsa-let-7d-5p,KCTD21,-0.4159261790840738,0.0007160664876922
MIMAT0000065,hsa-let-7d-5p,LCOR,-0.3228298017771702,0.0076181351296443
MIMAT0000065,hsa-let-7d-5p,TSC22D2,-0.3530416951469583,0.0038053257818399
MIMAT0000065,hsa-let-7d-5p,ZKSCAN5,-0.3852358168147642,0.0016844939002
MIMAT0000065,hsa-let-7d-5p,TECPR2,-0.393984962406015,0.0013307072593666
MIMAT0000065,hsa-let-7d-5p,NHLRC2,-0.3293233082706767,0.0065984793443126
MIMAT0000065,hsa-let-7d-5p,HELZ,-0.3179767600820232,0.0084656192993697
MIMAT0000065,hsa-let-7d-5p,MDM4,-0.3237183868762817,0.0074710978706347
MIMAT0000065,hsa-let-7d-5p,ANKRD28,-0.3466848940533151,0.0044279846125323
MIMAT0000065,hsa-let-7d-5p,NRAS,-0.3552973342447026,0.0036034980886554
MIMAT0000065,hsa-let-7d-5p,CHUK,-0.4125768967874231,0.0007892394520691
MIMAT0000065,hsa-let-7d-5p,SYNJ2BP,-0.3974025974025974,0.0012115398706478
MIMAT0000065,hsa-let-7d-5p,FNIP1,-0.3339029391660971,0.0059519366565743
MIMAT0000065,hsa-let-7d-5p,ATXN1L,-0.3792891319207109,0.0019702021749203
MIMAT0000065,hsa-let-7d-5p,ERCC6,-0.4135338345864662,0.000767679192161
MIMAT0000066,hsa-let-7e-5p,DTX2,-0.4498291182501709,0.0002523835922493
MIMAT0000066,hsa-let-7e-5p,CAPN3,-0.3242365727844008,0.0073864786121549
MIMAT0000066,hsa-let-7e-5p,SRD5A3,-0.3241968557758031,0.0073929351882168
MIMAT0000066,hsa-let-7e-5p,CPA4,-0.3622009569377991,0.0030426434586858
